places,address,link,user,star,creat_date,comment
Ninh_Kieu_Wharf,"106 Đường Hai Bà Trưng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ninh+Kieu+Wharf/@10.0322715,105.7882308,17z/data=!3m1!4b1!4m6!3m5!1s0x31a06298aae43e71:0xc6a64bdac582285d!8m2!3d10.0322715!4d105.7882308!16s%2Fg%2F11_ygvs77?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",,5.0,2024-04-01,Coming to the Mekong Delta without stopping at Ninh Kieu wharf would probably be a mistake. The feeling of sailing on the vast river really makes us satisfied.  Beautiful …
Ninh_Kieu_Wharf,"106 Đường Hai Bà Trưng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ninh+Kieu+Wharf/@10.0322715,105.7882308,17z/data=!3m1!4b1!4m6!3m5!1s0x31a06298aae43e71:0xc6a64bdac582285d!8m2!3d10.0322715!4d105.7882308!16s%2Fg%2F11_ygvs77?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Arun Jayaprakash,4.0,2024-05-01,"Visited the marina to take a boat on our way to the Cai Rang Floating Market. The place is neat and well maintained, with beautiful gardens, plants and trees, and Hong Nguyenis a nice place to spend time with a view of the river."
Ninh_Kieu_Wharf,"106 Đường Hai Bà Trưng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ninh+Kieu+Wharf/@10.0322715,105.7882308,17z/data=!3m1!4b1!4m6!3m5!1s0x31a06298aae43e71:0xc6a64bdac582285d!8m2!3d10.0322715!4d105.7882308!16s%2Fg%2F11_ygvs77?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Ko Koo,2.0,2025-02-01,"The floating market tour was okay... not really impressive. If you don't have time in Cần Thơ, you can easily pass on this tour. Typical tourist trap. …"
Ninh_Kieu_Wharf,"106 Đường Hai Bà Trưng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ninh+Kieu+Wharf/@10.0322715,105.7882308,17z/data=!3m1!4b1!4m6!3m5!1s0x31a06298aae43e71:0xc6a64bdac582285d!8m2!3d10.0322715!4d105.7882308!16s%2Fg%2F11_ygvs77?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Tomas Hendrych,2.0,2025-02-01,"Be sure what you expect. There is almost no floating market any more, there are tourist floating souvenir market. We paid for private boat, had to wait 30 minutes abd finaly ended with 10 other tourist."
Ninh_Kieu_Wharf,"106 Đường Hai Bà Trưng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ninh+Kieu+Wharf/@10.0322715,105.7882308,17z/data=!3m1!4b1!4m6!3m5!1s0x31a06298aae43e71:0xc6a64bdac582285d!8m2!3d10.0322715!4d105.7882308!16s%2Fg%2F11_ygvs77?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Natalia T,4.0,2025-02-01,"We rented a small boat for two people at 400,000 VND, which I found to be a reasonable price. Larger boats cost 100,000 VND per person and carry up to 20 people, but I don’t think they’re worth it. To get a good deal, arrive at the port by …"
Ninh_Kieu_Wharf,"106 Đường Hai Bà Trưng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ninh+Kieu+Wharf/@10.0322715,105.7882308,17z/data=!3m1!4b1!4m6!3m5!1s0x31a06298aae43e71:0xc6a64bdac582285d!8m2!3d10.0322715!4d105.7882308!16s%2Fg%2F11_ygvs77?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",David Henderson,3.0,2025-02-01,"A nice area to walk through, but kind of a bummer being constantly accosted by people trying to sell you boat tickets.  FYI don't buy from any of them.  Visited during my 2024 bicycle trip around SE Asia. Watch on YouTube: @VeloObscura"
Ninh_Kieu_Wharf,"106 Đường Hai Bà Trưng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ninh+Kieu+Wharf/@10.0322715,105.7882308,17z/data=!3m1!4b1!4m6!3m5!1s0x31a06298aae43e71:0xc6a64bdac582285d!8m2!3d10.0322715!4d105.7882308!16s%2Fg%2F11_ygvs77?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",J C,1.0,2024-12-01,"The highlight of this warfare was supposed to be the boat dining experience. Sadly, the ride was short of good, and the food was mediocre at best.  Boat ride: With the expectation of a moving boat accompanying sights and views of the river, you only get about 5 minutes of the boat going. Then the boat makes a slow rotation and your headed back to base.  Music on the boat was ok. Was not the best as it only included traditional music.  Food: Orders of food was pricey. Even the sodas were pricey. The best deal you would get is ordering one of the hotpot. Anything else, don't say you weren't warned. But, to be fare, it's a tourist attraction. So pricey food is expected.  Overall, this boat dinner affair isn't good. Many things can be improved. Many things can be possible, should the owners want it better to represent Vietnam."
Ninh_Kieu_Wharf,"106 Đường Hai Bà Trưng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ninh+Kieu+Wharf/@10.0322715,105.7882308,17z/data=!3m1!4b1!4m6!3m5!1s0x31a06298aae43e71:0xc6a64bdac582285d!8m2!3d10.0322715!4d105.7882308!16s%2Fg%2F11_ygvs77?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Hà Việt Thắng,5.0,2025-02-01,"It’s new year so there are so much lights. Very cool, very demure"
Ninh_Kieu_Wharf,"106 Đường Hai Bà Trưng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ninh+Kieu+Wharf/@10.0322715,105.7882308,17z/data=!3m1!4b1!4m6!3m5!1s0x31a06298aae43e71:0xc6a64bdac582285d!8m2!3d10.0322715!4d105.7882308!16s%2Fg%2F11_ygvs77?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",C CLARENCE,4.0,2025-04-01,Fun place to visit lot's of nice restaurant's and Bar's around. The floating market isn't much existing as I expected. Looks like it doesn't active as it used to be. But anyway you can experience what it's looks like Vietnamese culture
Ninh_Kieu_Wharf,"106 Đường Hai Bà Trưng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Ninh+Kieu+Wharf/@10.0322715,105.7882308,17z/data=!3m1!4b1!4m6!3m5!1s0x31a06298aae43e71:0xc6a64bdac582285d!8m2!3d10.0322715!4d105.7882308!16s%2Fg%2F11_ygvs77?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Nguyen Thanh Tam,3.0,2025-04-01,"Touristic site with lots of restaurants, buildings and shops, so not spacious enough for those who like walking. This is also a boat dock to visit the floating markets and the island so many vendors will come to offer the services as you walk by but they are polite, not try to stop or scare you. Totally understand why they have to do this, COVID time and very few guests."
