places,address,link,user,star,creat_date,comment,data_llm
TRUNG_NGUYÊN_E-COFFEE_24_VÕ_VĂN_KIỆT,"24 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/TRUNG+NGUY%C3%8AN+E-COFFEE+24+V%C3%95+V%C4%82N+KI%E1%BB%86T/@10.044825,105.7637598,17z/data=!4m6!3m5!1s0x31a0899093af64c5:0x7b6a4662d3a40fe1!8m2!3d10.044825!4d105.7637598!16s%2Fg%2F11tcw1myyj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",TRAM Le,5.0,2024-04-01,"The restaurant is spacious and cool, right in front of the main road, easy to find, convenient parking. Preparation is similar to other E coffee shops","
{
    ""danh_sach_tu_tot"": ""spacious, cool, easy to find, convenient"",
    ""danh_sach_tu_xau"": null
}
"
TRUNG_NGUYÊN_E-COFFEE_24_VÕ_VĂN_KIỆT,"24 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/TRUNG+NGUY%C3%8AN+E-COFFEE+24+V%C3%95+V%C4%82N+KI%E1%BB%86T/@10.044825,105.7637598,17z/data=!4m6!3m5!1s0x31a0899093af64c5:0x7b6a4662d3a40fe1!8m2!3d10.044825!4d105.7637598!16s%2Fg%2F11tcw1myyj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Tuấn Phan Văn,5.0,2024-04-01,"In terms of space, the shop has 2 floors. The lower floor has a bar, without air conditioning, suitable for customers who want to enjoy coffee to prepare for a day at work. The 2nd floor is an air-conditioned room, not too noisy, suitable for choosing as a workplace or also a floor for guests to have more time to enjoy coffee. The space on the 2nd floor is also very beautiful with a view. The street and layout are also good. Service is quite good, there are staff serving at the table. The menu is diverse and the prices are a bit better than other shops I've used, in return the drinks are delicious and to my liking.","
{
    ""danh_sach_tu_tot"": ""suitable, beautiful, good, diverse, delicious, to my liking"",
    ""danh_sach_tu_xau"": ""not too noisy, a bit better""
}
"
TRUNG_NGUYÊN_E-COFFEE_24_VÕ_VĂN_KIỆT,"24 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/TRUNG+NGUY%C3%8AN+E-COFFEE+24+V%C3%95+V%C4%82N+KI%E1%BB%86T/@10.044825,105.7637598,17z/data=!4m6!3m5!1s0x31a0899093af64c5:0x7b6a4662d3a40fe1!8m2!3d10.044825!4d105.7637598!16s%2Fg%2F11tcw1myyj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Phuc Lam,5.0,2024-05-01,I love the iced tea here and the coffee is always delicious 🥰,"
{
    ""danh_sach_tu_tot"": ""love, delicious"",
    ""danh_sach_tu_xau"": null
}
"
TRUNG_NGUYÊN_E-COFFEE_24_VÕ_VĂN_KIỆT,"24 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/TRUNG+NGUY%C3%8AN+E-COFFEE+24+V%C3%95+V%C4%82N+KI%E1%BB%86T/@10.044825,105.7637598,17z/data=!4m6!3m5!1s0x31a0899093af64c5:0x7b6a4662d3a40fe1!8m2!3d10.044825!4d105.7637598!16s%2Fg%2F11tcw1myyj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Minh Hiền Nguyễn,5.0,2024-04-01,"The restaurant space is large, with a cold room upstairs.","
{
    ""danh_sach_tu_tot"": ""large"",
    ""danh_sach_tu_xau"": ""cold""
}
"
TRUNG_NGUYÊN_E-COFFEE_24_VÕ_VĂN_KIỆT,"24 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/TRUNG+NGUY%C3%8AN+E-COFFEE+24+V%C3%95+V%C4%82N+KI%E1%BB%86T/@10.044825,105.7637598,17z/data=!4m6!3m5!1s0x31a0899093af64c5:0x7b6a4662d3a40fe1!8m2!3d10.044825!4d105.7637598!16s%2Fg%2F11tcw1myyj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Vĩnh Thái,4.0,2024-09-01,"Airy and cool upstairs, the cold room looks down on the street, also chill chill","
{
    ""danh_sach_tu_tot"": ""airy, cool, chill chill"",
    ""danh_sach_tu_xau"": ""cold""
}
"
TRUNG_NGUYÊN_E-COFFEE_24_VÕ_VĂN_KIỆT,"24 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/TRUNG+NGUY%C3%8AN+E-COFFEE+24+V%C3%95+V%C4%82N+KI%E1%BB%86T/@10.044825,105.7637598,17z/data=!4m6!3m5!1s0x31a0899093af64c5:0x7b6a4662d3a40fe1!8m2!3d10.044825!4d105.7637598!16s%2Fg%2F11tcw1myyj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",nguyen khuyen,5.0,2025-04-01,"The shop is spacious, airy, and has delicious coffee","
{
    ""danh_sach_tu_tot"": ""spacious, airy, delicious"",
    ""danh_sach_tu_xau"": """"
}
"
TRUNG_NGUYÊN_E-COFFEE_24_VÕ_VĂN_KIỆT,"24 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/TRUNG+NGUY%C3%8AN+E-COFFEE+24+V%C3%95+V%C4%82N+KI%E1%BB%86T/@10.044825,105.7637598,17z/data=!4m6!3m5!1s0x31a0899093af64c5:0x7b6a4662d3a40fe1!8m2!3d10.044825!4d105.7637598!16s%2Fg%2F11tcw1myyj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Quang Le,5.0,2024-04-01,"The shop has many green trees, especially at noon, it is very cool and has a view overlooking the facade of Vo Van Kiet. The staff is also enthusiastic. Delicious milk coffee, reasonable price, not too expensive.","
{
    ""danh_sach_tu_tot"": ""cool, enthusiastic, delicious, reasonable price"",
    ""danh_sach_tu_xau"": ""expensive""
}
"
TRUNG_NGUYÊN_E-COFFEE_24_VÕ_VĂN_KIỆT,"24 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/TRUNG+NGUY%C3%8AN+E-COFFEE+24+V%C3%95+V%C4%82N+KI%E1%BB%86T/@10.044825,105.7637598,17z/data=!4m6!3m5!1s0x31a0899093af64c5:0x7b6a4662d3a40fe1!8m2!3d10.044825!4d105.7637598!16s%2Fg%2F11tcw1myyj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Trường Lê,4.0,2024-04-01,Delicious coffee that suits your taste The okie shop space has an air-conditioned 2nd floor where you can sit in a cafe and work quite quietly,"
{
    ""danh_sach_tu_tot"": ""Delicious, suits your taste, quietly"",
    ""danh_sach_tu_xau"": """"
}
"
TRUNG_NGUYÊN_E-COFFEE_24_VÕ_VĂN_KIỆT,"24 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/TRUNG+NGUY%C3%8AN+E-COFFEE+24+V%C3%95+V%C4%82N+KI%E1%BB%86T/@10.044825,105.7637598,17z/data=!4m6!3m5!1s0x31a0899093af64c5:0x7b6a4662d3a40fe1!8m2!3d10.044825!4d105.7637598!16s%2Fg%2F11tcw1myyj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Đặc Sản Cần Thơ,5.0,2025-04-01,"Delicious water, comfortable space","
{
    ""danh_sach_tu_tot"": ""Delicious, comfortable"",
    ""danh_sach_tu_xau"": """"
}
"
TRUNG_NGUYÊN_E-COFFEE_24_VÕ_VĂN_KIỆT,"24 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/TRUNG+NGUY%C3%8AN+E-COFFEE+24+V%C3%95+V%C4%82N+KI%E1%BB%86T/@10.044825,105.7637598,17z/data=!4m6!3m5!1s0x31a0899093af64c5:0x7b6a4662d3a40fe1!8m2!3d10.044825!4d105.7637598!16s%2Fg%2F11tcw1myyj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Trần Thanh Bình,5.0,2024-04-01,The restaurant is located on the main road leading to the airport. The space is airy below and there is an air-conditioned room above. Can be rented as a meeting room. Affordable price. Polite staff.,"
{
    ""danh_sach_tu_tot"": ""airy, Affordable price, Polite staff"",
    ""danh_sach_tu_xau"": null
}
"
