places,address,link,user,star,creat_date,comment,data_llm
Là_CAFE_Nguyễn_Văn_Linh,"29D Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/L%C3%A0+CAFE+Nguy%E1%BB%85n+V%C4%83n+Linh/@10.0247023,105.7598601,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ad08eecab1:0x4350258cf920d8d0!8m2!3d10.0247023!4d105.7598601!16s%2Fg%2F11lyv_jkh8?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoASAFQAw%3D%3D",Phan Thị Trúc Huỳnh,5.0,2025-03-23,good good,"
{
    ""danh_sach_tu_tot"": ""good"",
    ""danh_sach_tu_xau"": """"
}
"
Là_CAFE_Nguyễn_Văn_Linh,"29D Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/L%C3%A0+CAFE+Nguy%E1%BB%85n+V%C4%83n+Linh/@10.0247023,105.7598601,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ad08eecab1:0x4350258cf920d8d0!8m2!3d10.0247023!4d105.7598601!16s%2Fg%2F11lyv_jkh8?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoASAFQAw%3D%3D",ZERDALI,5.0,2025-04-13,"My experience at the restaurant was quite good 🌟 Regarding price: I find the price quite good in general compared to study cafes in Can Tho, ranging from 28K or more. 🌟 About the atmosphere: I feel good to study, meet deadlines, do group assignments,... 🌟About service and staff: In my opinion, it's quite good, there's still room for improvement in terms of enthusiasm and warmth towards customers, but they're also polite, and the shop has thoughtfully prepared necessary items and drinks. 💌 One thing I don't like is the location of the electrical outlet and the type of electrical outlet because it makes me feel like it's not convenient to pin. You can go to the shop to experience it to have more objective assessments 🌟🌟🌟🌟🌟","
{
    ""danh_sach_tu_tot"": ""good, good, good, polite, thoughtfully prepared"",
    ""danh_sach_tu_xau"": ""not convenient""
}
"
Là_CAFE_Nguyễn_Văn_Linh,"29D Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/L%C3%A0+CAFE+Nguy%E1%BB%85n+V%C4%83n+Linh/@10.0247023,105.7598601,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ad08eecab1:0x4350258cf920d8d0!8m2!3d10.0247023!4d105.7598601!16s%2Fg%2F11lyv_jkh8?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoASAFQAw%3D%3D",Ái Nguyệt Tiêu,5.0,2025-01-13,"First time experiencing a coffee shop with a super large space and many tables and chairs for customers.  The shop's model is diverse, with a coffee shop combined with a study and meeting space. There is also coffee in bed/box, overnight coffee,... All are very cool air-conditioned. There is a table reservation service at the restaurant Menu has quite a lot of drinks. If you buy to take away, the price will be the same 20k/cup. Order at the counter, pay and serve yourself water 😐 I don't like the shop's milk coffee, it's too sweet, like candy, but the coffee doesn't smell very fragrant. In general, the coffee here is mild.","
{
    ""danh_sach_tu_tot"": ""super large space, many tables and chairs, diverse, cool air-conditioned"",
    ""danh_sach_tu_xau"": ""too sweet, doesn't smell very fragrant, mild""
}
"
Là_CAFE_Nguyễn_Văn_Linh,"29D Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/L%C3%A0+CAFE+Nguy%E1%BB%85n+V%C4%83n+Linh/@10.0247023,105.7598601,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ad08eecab1:0x4350258cf920d8d0!8m2!3d10.0247023!4d105.7598601!16s%2Fg%2F11lyv_jkh8?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoASAFQAw%3D%3D",liên ngọc,1.0,2025-04-13,"Oder staff has a gloomy attitude and goes to drink water, thinking it's a joke asking for a drink, too bad. This is the first time I've met a restaurant, the staff is so bad 😱","
{
    ""danh_sach_tu_tot"": [],
    ""danh_sach_tu_xau"": ""gloomy attitude, too bad, so bad""
}
"
Là_CAFE_Nguyễn_Văn_Linh,"29D Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/L%C3%A0+CAFE+Nguy%E1%BB%85n+V%C4%83n+Linh/@10.0247023,105.7598601,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ad08eecab1:0x4350258cf920d8d0!8m2!3d10.0247023!4d105.7598601!16s%2Fg%2F11lyv_jkh8?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoASAFQAw%3D%3D",Quốc Nguyễn,2.0,2025-02-13,The ordering staff spoke quickly but it was too soft to hear. The ordering counter staff was not friendly. Cute parking attendant,"
{
    ""danh_sach_tu_tot"": ""Cute, friendly"",
    ""danh_sach_tu_xau"": ""spoke quickly, too soft to hear, not friendly""
}
"
Là_CAFE_Nguyễn_Văn_Linh,"29D Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/L%C3%A0+CAFE+Nguy%E1%BB%85n+V%C4%83n+Linh/@10.0247023,105.7598601,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ad08eecab1:0x4350258cf920d8d0!8m2!3d10.0247023!4d105.7598601!16s%2Fg%2F11lyv_jkh8?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoASAFQAw%3D%3D",Hoàng Duy,1.0,2025-04-13,"I asked the staff to clean it up, but after more than 30 years, I still couldn't find it, a bunch of trash left by previous customers. Too bad! With the whole upstairs being so noisy, there needs to be a silence sign!","
{
    ""danh_sach_tu_tot"": null,
    ""danh_sach_tu_xau"": ""trash, noisy""
}
"
Là_CAFE_Nguyễn_Văn_Linh,"29D Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/L%C3%A0+CAFE+Nguy%E1%BB%85n+V%C4%83n+Linh/@10.0247023,105.7598601,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ad08eecab1:0x4350258cf920d8d0!8m2!3d10.0247023!4d105.7598601!16s%2Fg%2F11lyv_jkh8?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoASAFQAw%3D%3D",Piw Doan,1.0,2025-01-13,"I heard about the promotion so I went but the experience was so bad. The toilet is dirty, there is no faucet, the room is not cleaned thoroughly and there is trash left by previous guests, there is an advertisement for a bathroom but after only opening a few days the bathroom is broken, the water is not very good, just drink for fun :)) Cute, enthusiastic staff. In short, I guess I'll just come here to let you know and won't come back if the restaurant doesn't change :))","
{
    ""danh_sach_tu_tot"": ""Cute, enthusiastic"",
    ""danh_sach_tu_xau"": ""so bad, dirty, no faucet, not cleaned thoroughly, trash, broken, not very good""
}
"
Là_CAFE_Nguyễn_Văn_Linh,"29D Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/L%C3%A0+CAFE+Nguy%E1%BB%85n+V%C4%83n+Linh/@10.0247023,105.7598601,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ad08eecab1:0x4350258cf920d8d0!8m2!3d10.0247023!4d105.7598601!16s%2Fg%2F11lyv_jkh8?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoASAFQAw%3D%3D",NGUYỄN VŨ VIỄN PHƯƠNG,5.0,2025-01-13,"The restaurant has beautiful decor, airy space, delicious drinks. Especially the gift is so beautiful","
{
    ""danh_sach_tu_tot"": ""beautiful, airy, delicious, beautiful"",
    ""danh_sach_tu_xau"": """"
}
"
Là_CAFE_Nguyễn_Văn_Linh,"29D Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/L%C3%A0+CAFE+Nguy%E1%BB%85n+V%C4%83n+Linh/@10.0247023,105.7598601,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ad08eecab1:0x4350258cf920d8d0!8m2!3d10.0247023!4d105.7598601!16s%2Fg%2F11lyv_jkh8?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoASAFQAw%3D%3D",ngoc chan,5.0,2025-02-13,"The space is quite large, quiet, suitable for studying and working","
{
    ""danh_sach_tu_tot"": ""large, quiet, suitable"",
    ""danh_sach_tu_xau"": null
}
"
Là_CAFE_Nguyễn_Văn_Linh,"29D Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/L%C3%A0+CAFE+Nguy%E1%BB%85n+V%C4%83n+Linh/@10.0247023,105.7598601,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089ad08eecab1:0x4350258cf920d8d0!8m2!3d10.0247023!4d105.7598601!16s%2Fg%2F11lyv_jkh8?entry=ttu&g_ep=EgoyMDI1MDQwOS4wIKXMDSoASAFQAw%3D%3D",que anh le,1.0,2025-03-23,"An unpleasant experience at La cf NVL. As a customer who has visited many times and was very satisfied with the service the previous times, this time the staff asked me to change tables with a disrespectful attitude such as kicking the customer out while the customer was sitting. Extremely bad attitude.","
{
    ""danh_sach_tu_tot"": ""satisfied"",
    ""danh_sach_tu_xau"": ""unpleasant, disrespectful attitude, kicking the customer out, bad attitude""
}
"
