places,address,link,user,star,creat_date,comment,data_llm
KFC_Đường_Trần_Hoàng_Na_Cần_Thơ,"207-209-211, Đ. Nguyễn Hiền, Khu dân cư 91B, Ninh Kiều, Cần Thơ 94000","https://www.google.com/maps/place/KFC+%C4%90%C6%B0%E1%BB%9Dng+Tr%E1%BA%A7n+Ho%C3%A0ng+Na+C%E1%BA%A7n+Th%C6%A1/@10.0213128,105.7546054,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e754e07f87:0xe6f0b8f9a05bf006!8m2!3d10.0213128!4d105.7546054!16s%2Fg%2F11why45llz?entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",Nguyen Le Anh Quoc B2406291,5.0,2024-12-21,gooddddd,"
{
    ""danh_sach_tu_tot"": ""gooddddd"",
    ""danh_sach_tu_xau"": """"
}
"
KFC_Đường_Trần_Hoàng_Na_Cần_Thơ,"207-209-211, Đ. Nguyễn Hiền, Khu dân cư 91B, Ninh Kiều, Cần Thơ 94000","https://www.google.com/maps/place/KFC+%C4%90%C6%B0%E1%BB%9Dng+Tr%E1%BA%A7n+Ho%C3%A0ng+Na+C%E1%BA%A7n+Th%C6%A1/@10.0213128,105.7546054,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e754e07f87:0xe6f0b8f9a05bf006!8m2!3d10.0213128!4d105.7546054!16s%2Fg%2F11why45llz?entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",Nghiêm Ngô Văn,5.0,2024-11-21,ok,"
{
""danh_sach_tu_tot"": ""ok"",
""danh_sach_tu_xau"": """"
}
"
KFC_Đường_Trần_Hoàng_Na_Cần_Thơ,"207-209-211, Đ. Nguyễn Hiền, Khu dân cư 91B, Ninh Kiều, Cần Thơ 94000","https://www.google.com/maps/place/KFC+%C4%90%C6%B0%E1%BB%9Dng+Tr%E1%BA%A7n+Ho%C3%A0ng+Na+C%E1%BA%A7n+Th%C6%A1/@10.0213128,105.7546054,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e754e07f87:0xe6f0b8f9a05bf006!8m2!3d10.0213128!4d105.7546054!16s%2Fg%2F11why45llz?entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",Nam Hoàng,5.0,2024-12-21,Ngonnnnnnnn,"
{
    ""danh_sach_tu_tot"": ""Ngonnnnnnnn"",
    ""danh_sach_tu_xau"": null
}
"
KFC_Đường_Trần_Hoàng_Na_Cần_Thơ,"207-209-211, Đ. Nguyễn Hiền, Khu dân cư 91B, Ninh Kiều, Cần Thơ 94000","https://www.google.com/maps/place/KFC+%C4%90%C6%B0%E1%BB%9Dng+Tr%E1%BA%A7n+Ho%C3%A0ng+Na+C%E1%BA%A7n+Th%C6%A1/@10.0213128,105.7546054,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e754e07f87:0xe6f0b8f9a05bf006!8m2!3d10.0213128!4d105.7546054!16s%2Fg%2F11why45llz?entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",Minh Đẹp Lê,5.0,2025-04-21,"This KFC branch is very good, the staff is very enthusiastic, also very clean, the marinated chicken is very satisfying to me.","
{
    ""danh_sach_tu_tot"": ""very good, enthusiastic, very clean, satisfying"",
    ""danh_sach_tu_xau"": null
}
"
KFC_Đường_Trần_Hoàng_Na_Cần_Thơ,"207-209-211, Đ. Nguyễn Hiền, Khu dân cư 91B, Ninh Kiều, Cần Thơ 94000","https://www.google.com/maps/place/KFC+%C4%90%C6%B0%E1%BB%9Dng+Tr%E1%BA%A7n+Ho%C3%A0ng+Na+C%E1%BA%A7n+Th%C6%A1/@10.0213128,105.7546054,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e754e07f87:0xe6f0b8f9a05bf006!8m2!3d10.0213128!4d105.7546054!16s%2Fg%2F11why45llz?entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",Như Phụng Huỳnh Đặng,5.0,2025-04-17,"The space is airy and clean. Even though it's crowded, the food comes out very quickly and is hot and crispy","
{
    ""danh_sach_tu_tot"": ""airy, clean, quickly, hot, crispy"",
    ""danh_sach_tu_xau"": ""crowded""
}
"
KFC_Đường_Trần_Hoàng_Na_Cần_Thơ,"207-209-211, Đ. Nguyễn Hiền, Khu dân cư 91B, Ninh Kiều, Cần Thơ 94000","https://www.google.com/maps/place/KFC+%C4%90%C6%B0%E1%BB%9Dng+Tr%E1%BA%A7n+Ho%C3%A0ng+Na+C%E1%BA%A7n+Th%C6%A1/@10.0213128,105.7546054,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e754e07f87:0xe6f0b8f9a05bf006!8m2!3d10.0213128!4d105.7546054!16s%2Fg%2F11why45llz?entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",Xuyen Ngo,5.0,2024-11-21,Branches open widely! Enthusiastic and cheerful service staff! Chicken nuggets taste delicious and kids love it! Will visit next time. KFC is good! Clean and tidy🫰.,"
{
    ""danh_sach_tu_tot"": ""open widely, Enthusiastic, cheerful, delicious, love, good, Clean, tidy"",
    ""danh_sach_tu_xau"": null
}
"
KFC_Đường_Trần_Hoàng_Na_Cần_Thơ,"207-209-211, Đ. Nguyễn Hiền, Khu dân cư 91B, Ninh Kiều, Cần Thơ 94000","https://www.google.com/maps/place/KFC+%C4%90%C6%B0%E1%BB%9Dng+Tr%E1%BA%A7n+Ho%C3%A0ng+Na+C%E1%BA%A7n+Th%C6%A1/@10.0213128,105.7546054,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e754e07f87:0xe6f0b8f9a05bf006!8m2!3d10.0213128!4d105.7546054!16s%2Fg%2F11why45llz?entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",Khoa Nguyễn,5.0,2025-01-21,"The restaurant is spacious and cool, the space is private, the food is off the table and always fresh, hot and crispy","
{
    ""danh_sach_tu_tot"": ""spacious, cool, private, fresh, hot, crispy"",
    ""danh_sach_tu_xau"": """"
}
"
KFC_Đường_Trần_Hoàng_Na_Cần_Thơ,"207-209-211, Đ. Nguyễn Hiền, Khu dân cư 91B, Ninh Kiều, Cần Thơ 94000","https://www.google.com/maps/place/KFC+%C4%90%C6%B0%E1%BB%9Dng+Tr%E1%BA%A7n+Ho%C3%A0ng+Na+C%E1%BA%A7n+Th%C6%A1/@10.0213128,105.7546054,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e754e07f87:0xe6f0b8f9a05bf006!8m2!3d10.0213128!4d105.7546054!16s%2Fg%2F11why45llz?entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",Mint,4.0,2025-02-21,"Like other KFC branches, the general premises... It will be sunny in the afternoon, you can sit inside, KFC has also covered the windows","
{
    ""danh_sach_tu_tot"": ""sunny"",
    ""danh_sach_tu_xau"": null
}
"
KFC_Đường_Trần_Hoàng_Na_Cần_Thơ,"207-209-211, Đ. Nguyễn Hiền, Khu dân cư 91B, Ninh Kiều, Cần Thơ 94000","https://www.google.com/maps/place/KFC+%C4%90%C6%B0%E1%BB%9Dng+Tr%E1%BA%A7n+Ho%C3%A0ng+Na+C%E1%BA%A7n+Th%C6%A1/@10.0213128,105.7546054,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e754e07f87:0xe6f0b8f9a05bf006!8m2!3d10.0213128!4d105.7546054!16s%2Fg%2F11why45llz?entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",Toan Dang,5.0,2025-04-21,"The space is large, cool and comfortable. Good food","
{
    ""danh_sach_tu_tot"": ""large, cool, comfortable, good"",
    ""danh_sach_tu_xau"": """"
}
"
KFC_Đường_Trần_Hoàng_Na_Cần_Thơ,"207-209-211, Đ. Nguyễn Hiền, Khu dân cư 91B, Ninh Kiều, Cần Thơ 94000","https://www.google.com/maps/place/KFC+%C4%90%C6%B0%E1%BB%9Dng+Tr%E1%BA%A7n+Ho%C3%A0ng+Na+C%E1%BA%A7n+Th%C6%A1/@10.0213128,105.7546054,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e754e07f87:0xe6f0b8f9a05bf006!8m2!3d10.0213128!4d105.7546054!16s%2Fg%2F11why45llz?entry=ttu&g_ep=EgoyMDI1MDQxNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",Cẩm Tiên,5.0,2024-11-21,"Yesterday I ordered a birthday party at KFC Tran Hoang Na, delivered on time, delicious chicken, many offers 100 VND","
{
    ""danh_sach_tu_tot"": ""delivered on time, delicious chicken, many offers"",
    ""danh_sach_tu_xau"": null
}
"
