places,address,link,user,star,creat_date,comment,data_llm
Museum_of_Tarot_-_Bảo_Tàng_Tarot,"44 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/Museum+of+Tarot+-+B%E1%BA%A3o+T%C3%A0ng+Tarot/@10.0344872,105.783198,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a012ce1a7f:0x94227f06590edd93!8m2!3d10.0344872!4d105.783198!16s%2Fg%2F11bz092swr?entry=ttu&g_ep=EgoyMDI1MDQyMC4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Andrea Ghannadian,5.0,2025-04-02,"This is an extensive collection with fascinating pieces. It’s a very tiny place on 3 floors (Vietnam-style)  with interesting things in every corner. Owners were very nice.  The attached coffee shop was having renovations done, but they let us in anyway.","
{
    ""danh_sach_tu_tot"": ""fascinating, interesting, very nice"",
    ""danh_sach_tu_xau"": null
}
"
Museum_of_Tarot_-_Bảo_Tàng_Tarot,"44 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/Museum+of+Tarot+-+B%E1%BA%A3o+T%C3%A0ng+Tarot/@10.0344872,105.783198,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a012ce1a7f:0x94227f06590edd93!8m2!3d10.0344872!4d105.783198!16s%2Fg%2F11bz092swr?entry=ttu&g_ep=EgoyMDI1MDQyMC4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",IntrepidTeach,2.0,2025-04-09,"More of a coffee shop with dusty, cramped, poorly lit exhibits. There's an upstairs with additional exhibits for a hefty price. However, if you agree to give a 5 star review, you can see it for FREE! Don't trust those reviews.","
{
    ""danh_sach_tu_tot"": ""FREE"",
    ""danh_sach_tu_xau"": ""dusty, cramped, poorly lit, hefty price""
}
"
Museum_of_Tarot_-_Bảo_Tàng_Tarot,"44 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/Museum+of+Tarot+-+B%E1%BA%A3o+T%C3%A0ng+Tarot/@10.0344872,105.783198,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a012ce1a7f:0x94227f06590edd93!8m2!3d10.0344872!4d105.783198!16s%2Fg%2F11bz092swr?entry=ttu&g_ep=EgoyMDI1MDQyMC4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Chuan Lee,1.0,2025-02-23,How can this place deserve so many good reviews? Overrated and is a very bad place.,"
{
    ""danh_sach_tu_tot"": ""good reviews"",
    ""danh_sach_tu_xau"": ""Overrated, bad place""
}
"
Museum_of_Tarot_-_Bảo_Tàng_Tarot,"44 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/Museum+of+Tarot+-+B%E1%BA%A3o+T%C3%A0ng+Tarot/@10.0344872,105.783198,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a012ce1a7f:0x94227f06590edd93!8m2!3d10.0344872!4d105.783198!16s%2Fg%2F11bz092swr?entry=ttu&g_ep=EgoyMDI1MDQyMC4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Ryan O'Hare,5.0,2025-02-23,Very informative visit and very helpful owner. He went above and beyond to make sure we got to see the museum even though they were carrying out renovations. Would definitely recommend.,"
{
    ""danh_sach_tu_tot"": ""informative, helpful, above and beyond, recommend"",
    ""danh_sach_tu_xau"": null
}
"
Museum_of_Tarot_-_Bảo_Tàng_Tarot,"44 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/Museum+of+Tarot+-+B%E1%BA%A3o+T%C3%A0ng+Tarot/@10.0344872,105.783198,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a012ce1a7f:0x94227f06590edd93!8m2!3d10.0344872!4d105.783198!16s%2Fg%2F11bz092swr?entry=ttu&g_ep=EgoyMDI1MDQyMC4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Thea Boyer,5.0,2024-04-23,Fun visit to Tarot Museum. So much to see and take in during our tour of several floors. Quite a collection!,"
{
    ""danh_sach_tu_tot"": ""Fun, to see, take in"",
    ""danh_sach_tu_xau"": null
}
"
Museum_of_Tarot_-_Bảo_Tàng_Tarot,"44 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/Museum+of+Tarot+-+B%E1%BA%A3o+T%C3%A0ng+Tarot/@10.0344872,105.783198,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a012ce1a7f:0x94227f06590edd93!8m2!3d10.0344872!4d105.783198!16s%2Fg%2F11bz092swr?entry=ttu&g_ep=EgoyMDI1MDQyMC4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Carlos Perez Pinaud,5.0,2025-04-23,"It is an absolute delight to listen to the owner of the museum, who personally does a very informative tour of the whole place. You can clearly see that he is passionate about what he is talking about. The collection of Tarot cards (as well as other cards, stones, and even amulets) is astonishing and ever-growing. This is truly a hidden gem of Can Tho.","
{
    ""danh_sach_tu_tot"": ""absolute delight, informative, passionate, astonishing, ever-growing, hidden gem"",
    ""danh_sach_tu_xau"": null
}
"
Museum_of_Tarot_-_Bảo_Tàng_Tarot,"44 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/Museum+of+Tarot+-+B%E1%BA%A3o+T%C3%A0ng+Tarot/@10.0344872,105.783198,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a012ce1a7f:0x94227f06590edd93!8m2!3d10.0344872!4d105.783198!16s%2Fg%2F11bz092swr?entry=ttu&g_ep=EgoyMDI1MDQyMC4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Bubuila Promulgitu,3.0,2024-04-23,"Just many tarot cards, literature and accessories collected and…shown, not displayed is someone’s house. We visited around 1 PM and found someone sleeping on the floor at the first level……..","
{
    ""danh_sach_tu_tot"": [],
    ""danh_sach_tu_xau"": []
}
"
Museum_of_Tarot_-_Bảo_Tàng_Tarot,"44 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/Museum+of+Tarot+-+B%E1%BA%A3o+T%C3%A0ng+Tarot/@10.0344872,105.783198,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a012ce1a7f:0x94227f06590edd93!8m2!3d10.0344872!4d105.783198!16s%2Fg%2F11bz092swr?entry=ttu&g_ep=EgoyMDI1MDQyMC4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Hoa Nguyen,3.0,2024-04-23,"Note that the photo from Trip Advisor does not match the front of this museum. I tried to contact someone via the website months in advance and received no reply. Showed up on a Thursday at 1 PM and paid entry fee (after having to get attendant's attention who was busy texting / playing games on his phone), took off shoes and ascended stairs. Displays full of items but unmarked. Skipped the recorded commentary based on poor reviews. Wifii not working. Air was stuffy--ceiling fans were turned off for some reason. Not sure if the cafe was running--no evidence of food/drink service for visitors and none offered. Disappointed that the lithotherapy objects were removed from the collection. As a Viet Kieu who is an avid tarot person, I found myself a bit let down. Three stars for a cool collection of items that photographed well but it all felt a bit neglected and randomly displayed--bummed that they did not offer Vietnamese tarot decks for sale.","
{
    ""danh_sach_tu_tot"": ""cool collection of items, photographed well"",
    ""danh_sach_tu_xau"": ""does not match, no reply, busy texting / playing games on his phone, unmarked, poor reviews, not working, stuffy, turned off, no evidence, disappointed, let down, neglected, randomly displayed, bummed""
}
"
Museum_of_Tarot_-_Bảo_Tàng_Tarot,"44 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/Museum+of+Tarot+-+B%E1%BA%A3o+T%C3%A0ng+Tarot/@10.0344872,105.783198,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a012ce1a7f:0x94227f06590edd93!8m2!3d10.0344872!4d105.783198!16s%2Fg%2F11bz092swr?entry=ttu&g_ep=EgoyMDI1MDQyMC4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Phil Langdon,4.0,2025-04-23,"Great if your vaguely interested in Tarot. Many cards, pictures, book from many countries.  Lot of stones for the stoned enthusiast (lapidary).   Tea & coffee available","
{
    ""danh_sach_tu_tot"": ""Great, interested"",
    ""danh_sach_tu_xau"": null
}
"
Museum_of_Tarot_-_Bảo_Tàng_Tarot,"44 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/Museum+of+Tarot+-+B%E1%BA%A3o+T%C3%A0ng+Tarot/@10.0344872,105.783198,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a012ce1a7f:0x94227f06590edd93!8m2!3d10.0344872!4d105.783198!16s%2Fg%2F11bz092swr?entry=ttu&g_ep=EgoyMDI1MDQyMC4wIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Merinda Hewat-Cameron,5.0,2025-04-23,"What a fantastic find! A real jewel in the city of Can Tho. A lovely young man, Will was my tour guide! There are 3 floors of artifacts & historical items. Such a lovely surprise and I thoroughly enjoyed it! I’m so pleased I visited and do stay afterwards to have the most amazing aromatic coffee! I wish to highly recommend a visit to the Museum of Tarot! 🔮🪄🧙‍♀️","
{
    ""danh_sach_tu_tot"": ""fantastic, real jewel, lovely, lovely surprise, enjoyed, pleased, amazing, highly recommend"",
    ""danh_sach_tu_xau"": null
}
"
