places,address,link,user,star,creat_date,comment
Trung_Nguyên_E-Coffee,"60p Trần Chiên, Lê Bình, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@9.9984952,105.7599876,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089baf5b9742b:0xec9504336ea75003!8m2!3d9.9984952!4d105.7599876!16s%2Fg%2F11y1cwzy7w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Anh Thư Lê Thị,5.0,2025-01-01,"The food is reasonably priced, suitable for families with many people and small children. Both the food and service here are excellent, there are many different drinks to choose from."
Trung_Nguyên_E-Coffee,"60p Trần Chiên, Lê Bình, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@9.9984952,105.7599876,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089baf5b9742b:0xec9504336ea75003!8m2!3d9.9984952!4d105.7599876!16s%2Fg%2F11y1cwzy7w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Thái Hưng Nguyễn,4.0,2024-09-01,"The shop is spacious and cool, has an outdoor area and a cold room, has an area for seminars and mini conferences, the shop is very airy, ok coffee, ok prices, an ideal place for meetings, studying, exchange, the service people are quick and enthusiastic, the outdoor area is beautifully decorated, there is a large koi fish pond, you should stop by the cafe."
Trung_Nguyên_E-Coffee,"60p Trần Chiên, Lê Bình, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@9.9984952,105.7599876,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089baf5b9742b:0xec9504336ea75003!8m2!3d9.9984952!4d105.7599876!16s%2Fg%2F11y1cwzy7w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Vy Nguyễn Thị Thanh,5.0,2025-01-01,"The drinks at the restaurant are delicious, the space is spacious and airy, the service staff is good, 10 VND is no exception"
Trung_Nguyên_E-Coffee,"60p Trần Chiên, Lê Bình, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@9.9984952,105.7599876,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089baf5b9742b:0xec9504336ea75003!8m2!3d9.9984952!4d105.7599876!16s%2Fg%2F11y1cwzy7w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Tự Chọn Đồ Nghề (Mr Đồ Nghề),5.0,2024-09-01,"The shop is very beautiful. Spacious, easy to park cars and the space is very suitable for studying and socializing"
Trung_Nguyên_E-Coffee,"60p Trần Chiên, Lê Bình, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@9.9984952,105.7599876,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089baf5b9742b:0xec9504336ea75003!8m2!3d9.9984952!4d105.7599876!16s%2Fg%2F11y1cwzy7w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Phuong Vu Nguyen,3.0,2024-04-01,"Personal views and experiences: The restaurant has spacious, comfortable space and spacious parking lot. Minus points for untrained staff and poor service skills. The first time I asked someone to help me take a photo, the photographer refused, while the shooting time was faster than standing and explaining to the customer. The second time I went, I made a mistake and was missing ingredients. When I asked, the staff just kept silent and walked away, with no attitude to solve the problem and just ignored the situation. Hopefully the restaurant will improve the quality of service and preparation."
Trung_Nguyên_E-Coffee,"60p Trần Chiên, Lê Bình, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@9.9984952,105.7599876,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089baf5b9742b:0xec9504336ea75003!8m2!3d9.9984952!4d105.7599876!16s%2Fg%2F11y1cwzy7w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Thảo Ngọc,5.0,2025-01-01,"There are few cafes in this area with car parking, this place is spacious and airy"
Trung_Nguyên_E-Coffee,"60p Trần Chiên, Lê Bình, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@9.9984952,105.7599876,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089baf5b9742b:0xec9504336ea75003!8m2!3d9.9984952!4d105.7599876!16s%2Fg%2F11y1cwzy7w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Vinh Truong,5.0,2024-04-01,"The restaurant is a franchise type. There are 2 areas, garden and air-conditioned room (with upstairs). Spacious parking lot, including car parking. The garden has a fish pond. Spacious air-conditioned room (about 20 tables upstairs and downstairs), clean bathroom. Enthusiastic and friendly staff (including the security guard and parking attendant). Reasonable price compared to food quality, space and brand. In the morning there is breakfast. There is flexible payment by card and e-wallet."
Trung_Nguyên_E-Coffee,"60p Trần Chiên, Lê Bình, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@9.9984952,105.7599876,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089baf5b9742b:0xec9504336ea75003!8m2!3d9.9984952!4d105.7599876!16s%2Fg%2F11y1cwzy7w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Mai Khanh Lê Đoàn,5.0,2024-04-01,"The restaurant has a large, comfortable space, with an outdoor area and air conditioning. The landscape space is carefully cared for so it is very beautiful. The drinks are quite delicious, similar to other e-coffee shops. The birth home is very clean. Enthusiastic and attentive staff. The restaurant serves breakfast. Payment by bank transfer is available."
Trung_Nguyên_E-Coffee,"60p Trần Chiên, Lê Bình, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@9.9984952,105.7599876,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089baf5b9742b:0xec9504336ea75003!8m2!3d9.9984952!4d105.7599876!16s%2Fg%2F11y1cwzy7w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Trang Huyền,5.0,2024-04-01,"Large space includes indoor and outdoor There is a clear and spacious parking area for cars and motorbikes Beautiful area design Delicious drink! I have experienced pink guava tea Young, dynamic and gentle staff Last year it wasn't there, if you ask it's only 8-9 months! Now I have the opportunity to visit On the occasion of the end of the year, we enjoyed it together here! Will come back next time! Wishing everyone a peaceful Tet and a prosperous new year! Let's successfully break the cocoon together!"
Trung_Nguyên_E-Coffee,"60p Trần Chiên, Lê Bình, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@9.9984952,105.7599876,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089baf5b9742b:0xec9504336ea75003!8m2!3d9.9984952!4d105.7599876!16s%2Fg%2F11y1cwzy7w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Đạt Tô,5.0,2024-04-01,"A cafe with beautiful scenery ideal for enjoying coffee and relaxing on weekends after tiring working days, delicious coffee with a cheerful service team is very good for a friendly environment and harmony with the social community today."
Trung_Nguyên_E-Coffee,"60p Trần Chiên, Lê Bình, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@9.9984952,105.7599876,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089baf5b9742b:0xec9504336ea75003!8m2!3d9.9984952!4d105.7599876!16s%2Fg%2F11y1cwzy7w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Vdesign - Website Theo Yêu Cầu,5.0,2024-04-01,"The garden space is 'genuine', spacious, the staff is cheerful and quick, the prices are affordable compared to the restaurant's layout, but there is no breakfast."
