places,address,link,user,star,creat_date,comment,data_llm
Trung_Nguyên_E-coffee,"Đ. Số 1/2-4 KĐTM Đại Ngân, Phường An Khánh, Ninh Kiều, Cần Thơ 890000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-coffee/@10.0382727,105.7613736,17z/data=!4m6!3m5!1s0x31a0894d8ea5c337:0xbac8b9093d4c5d56!8m2!3d10.0382727!4d105.7613736!16s%2Fg%2F11krkw5s73?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Adorlee (ADORLEE),1.0,2025-01-01,"I ordered 'latte đa khong đuong' to go They gave me 'cafe đen' So i went back to the coffee shop They don't say sorry even, I paid again with commission Finally they make latte  but ""co đuong"" I was too tired to go back to the shop, so i gave up. ....💔","
{
    ""danh_sach_tu_tot"": null,
    ""danh_sach_tu_xau"": ""khong đuong, cafe đen, don't say sorry, paid again with commission, co đuong, too tired, gave up""
}
"
Trung_Nguyên_E-coffee,"Đ. Số 1/2-4 KĐTM Đại Ngân, Phường An Khánh, Ninh Kiều, Cần Thơ 890000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-coffee/@10.0382727,105.7613736,17z/data=!4m6!3m5!1s0x31a0894d8ea5c337:0xbac8b9093d4c5d56!8m2!3d10.0382727!4d105.7613736!16s%2Fg%2F11krkw5s73?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Tran Tinh,5.0,2024-04-01,"Spacous and comfortable, with nice drinks","
{
    ""danh_sach_tu_tot"": ""Spacous, comfortable, nice"",
    ""danh_sach_tu_xau"": """"
}
"
Trung_Nguyên_E-coffee,"Đ. Số 1/2-4 KĐTM Đại Ngân, Phường An Khánh, Ninh Kiều, Cần Thơ 890000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-coffee/@10.0382727,105.7613736,17z/data=!4m6!3m5!1s0x31a0894d8ea5c337:0xbac8b9093d4c5d56!8m2!3d10.0382727!4d105.7613736!16s%2Fg%2F11krkw5s73?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Minh Trí Lâm Huỳnh,5.0,2025-03-11,"Trung Nguyen E-Coffee is located in Dai Ngan Residential Area, Nguyen Van Cu Extended Street, cool space, both cold and outdoor rooms, suitable for studying and working, each table has its own power outlet, moderate water price, quality and decoration of the drink is relatively good, the minus point is that there is no floor mat outside, when it rains, it can easily get dirty when entering or exiting the floor.","
{
    ""danh_sach_tu_tot"": ""cool, suitable, good, moderate"",
    ""danh_sach_tu_xau"": ""dirty""
}
"
Trung_Nguyên_E-coffee,"Đ. Số 1/2-4 KĐTM Đại Ngân, Phường An Khánh, Ninh Kiều, Cần Thơ 890000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-coffee/@10.0382727,105.7613736,17z/data=!4m6!3m5!1s0x31a0894d8ea5c337:0xbac8b9093d4c5d56!8m2!3d10.0382727!4d105.7613736!16s%2Fg%2F11krkw5s73?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",BN Jap,5.0,2024-10-01,"E-coffee shop right at the beginning of Khu Dai Ngan street, extended Nguyen Van Cu Street Airy space Lovely, responsive service Drinks are diverse and okay Delicious bean juice Breakfast and lunch are good and cheap The owner is enthusiastic and cute Parking is comfortable, there is a car park Strong wifi, polite space Suitable for going to family cafes, working, meeting partners","
{
    ""danh_sach_tu_tot"": ""Airy, Lovely, responsive, diverse, Delicious, good, cheap, enthusiastic, cute, comfortable, polite, Suitable"",
    ""danh_sach_tu_xau"": ""okay""
}
"
Trung_Nguyên_E-coffee,"Đ. Số 1/2-4 KĐTM Đại Ngân, Phường An Khánh, Ninh Kiều, Cần Thơ 890000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-coffee/@10.0382727,105.7613736,17z/data=!4m6!3m5!1s0x31a0894d8ea5c337:0xbac8b9093d4c5d56!8m2!3d10.0382727!4d105.7613736!16s%2Fg%2F11krkw5s73?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Khánh Duy Nguyễn,5.0,2024-12-01,"The quality of the coffee shops of the chain is very good, the space is good and the staff are enthusiastic, worth experiencing. A pretty good place to meet deadlines","
{
    ""danh_sach_tu_tot"": ""very good, good, enthusiastic, worth experiencing, pretty good"",
    ""danh_sach_tu_xau"": """"
}
"
Trung_Nguyên_E-coffee,"Đ. Số 1/2-4 KĐTM Đại Ngân, Phường An Khánh, Ninh Kiều, Cần Thơ 890000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-coffee/@10.0382727,105.7613736,17z/data=!4m6!3m5!1s0x31a0894d8ea5c337:0xbac8b9093d4c5d56!8m2!3d10.0382727!4d105.7613736!16s%2Fg%2F11krkw5s73?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",TUẤN KHẢI LÊ,4.0,2024-06-01,"The drinks here are quite delicious. The coffee dishes have rich flavors and are easy to drink. The design style is also diverse without a specific motif. However, everyone will feel very comfortable when coming to this place. There will be private parking and enthusiastic service staff. I recommend that everyone should drink salted coffee.","
{
    ""danh_sach_tu_tot"": ""delicious, rich flavors, easy to drink, diverse, comfortable, enthusiastic"",
    ""danh_sach_tu_xau"": """"
}
"
Trung_Nguyên_E-coffee,"Đ. Số 1/2-4 KĐTM Đại Ngân, Phường An Khánh, Ninh Kiều, Cần Thơ 890000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-coffee/@10.0382727,105.7613736,17z/data=!4m6!3m5!1s0x31a0894d8ea5c337:0xbac8b9093d4c5d56!8m2!3d10.0382727!4d105.7613736!16s%2Fg%2F11krkw5s73?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Nguyễn Hoài Thương,5.0,2024-04-01,"New shop The space is cool and the staff are also cheerful and attentive. The shop is clean Car parking is available, there is an air-conditioned room and the outdoor space right on the corner of the street has a chill view","
{
    ""danh_sach_tu_tot"": ""cool, cheerful, attentive, clean, chill"",
    ""danh_sach_tu_xau"": null
}
"
Trung_Nguyên_E-coffee,"Đ. Số 1/2-4 KĐTM Đại Ngân, Phường An Khánh, Ninh Kiều, Cần Thơ 890000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-coffee/@10.0382727,105.7613736,17z/data=!4m6!3m5!1s0x31a0894d8ea5c337:0xbac8b9093d4c5d56!8m2!3d10.0382727!4d105.7613736!16s%2Fg%2F11krkw5s73?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Huỳnh Ngọc Trung,2.0,2024-06-01,"The shop is normal, but the price for a cup of coffee is not worth it. Sitting and drinking all the melted ice, I didn't see any more ice or detergent.","
{
    ""danh_sach_tu_tot"": ""normal"",
    ""danh_sach_tu_xau"": ""not worth it, melted ice""
}
"
Trung_Nguyên_E-coffee,"Đ. Số 1/2-4 KĐTM Đại Ngân, Phường An Khánh, Ninh Kiều, Cần Thơ 890000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-coffee/@10.0382727,105.7613736,17z/data=!4m6!3m5!1s0x31a0894d8ea5c337:0xbac8b9093d4c5d56!8m2!3d10.0382727!4d105.7613736!16s%2Fg%2F11krkw5s73?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",join harry,1.0,2024-11-01,"Poor service management, other than empty tables and chairs but messy arrangements, no seats, the restaurant doesn't need customers, customers don't need to care.","
{
    ""danh_sach_tu_tot"": null,
    ""danh_sach_tu_xau"": ""poor, messy, no need""
}
"
Trung_Nguyên_E-coffee,"Đ. Số 1/2-4 KĐTM Đại Ngân, Phường An Khánh, Ninh Kiều, Cần Thơ 890000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-coffee/@10.0382727,105.7613736,17z/data=!4m6!3m5!1s0x31a0894d8ea5c337:0xbac8b9093d4c5d56!8m2!3d10.0382727!4d105.7613736!16s%2Fg%2F11krkw5s73?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Vui 12A4 Hồ Thanh,5.0,2024-12-01,"The shop has a beautiful space and delicious drinks, including a meeting room 😗","
{
    ""danh_sach_tu_tot"": ""beautiful, delicious"",
    ""danh_sach_tu_xau"": null
}
"
