places,address,link,user,star,creat_date,comment
Trung_Nguyen_Legend_Coffee_World,,"https://www.google.com/maps/place/Trung+Nguyen+Legend+Coffee+World/@10.7798889,106.7006521,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f9c46865333:0x4c40c00efa3bd1aa!8m2!3d10.7798889!4d106.7006521!16s%2Fg%2F11ln09q0t3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Shahed Noor,5.0,2025-04-01,"Trung Nguyen Legend Coffee World is a must-visit for coffee lovers in Ho Chi Minh City. The vibe is classy yet cozy, with rich coffee aromas filling the air. Their menu offers everything from strong Vietnamese brews to the famous Legendee …"
Trung_Nguyen_Legend_Coffee_World,,"https://www.google.com/maps/place/Trung+Nguyen+Legend+Coffee+World/@10.7798889,106.7006521,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f9c46865333:0x4c40c00efa3bd1aa!8m2!3d10.7798889!4d106.7006521!16s%2Fg%2F11ln09q0t3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Thanh Hảo Lê,4.0,2025-01-01,"Trung Nguyen Legend Coffee World is a unique experience that blends the art of Vietnamese coffee with a touch of cultural spectacle. The space itself is impressive, with a grand scale and a focus on showcasing traditional Vietnamese …"
Trung_Nguyen_Legend_Coffee_World,,"https://www.google.com/maps/place/Trung+Nguyen+Legend+Coffee+World/@10.7798889,106.7006521,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f9c46865333:0x4c40c00efa3bd1aa!8m2!3d10.7798889!4d106.7006521!16s%2Fg%2F11ln09q0t3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Charles C,5.0,2025-04-01,This is the place for vietnamese style coffee. We picked up some instant coffee mixes for gifts. The atmosphere is always nice in these stores and very spacious. The employees were very helpful in answering our questions and helping us select appropriate products.
Trung_Nguyen_Legend_Coffee_World,,"https://www.google.com/maps/place/Trung+Nguyen+Legend+Coffee+World/@10.7798889,106.7006521,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f9c46865333:0x4c40c00efa3bd1aa!8m2!3d10.7798889!4d106.7006521!16s%2Fg%2F11ln09q0t3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Madeline Habit,5.0,2025-03-18,"One of the famous coffee in Vietnam,,.So glad that I visited the store..I bought 4kg of whole bean coffee and I pack of 3in1..good gifts to your friends if they love coffee.."
Trung_Nguyen_Legend_Coffee_World,,"https://www.google.com/maps/place/Trung+Nguyen+Legend+Coffee+World/@10.7798889,106.7006521,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f9c46865333:0x4c40c00efa3bd1aa!8m2!3d10.7798889!4d106.7006521!16s%2Fg%2F11ln09q0t3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Bernard Tan,5.0,2025-03-18,"Its a very nice cool environment especially on a hot sunny afternoon after walking around the Central Post Office, the Cathedral and the Book Street. I usually ordered the Legend Signature but tried the Peach Tea which is very refreshing."
Trung_Nguyen_Legend_Coffee_World,,"https://www.google.com/maps/place/Trung+Nguyen+Legend+Coffee+World/@10.7798889,106.7006521,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f9c46865333:0x4c40c00efa3bd1aa!8m2!3d10.7798889!4d106.7006521!16s%2Fg%2F11ln09q0t3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Shuo Ren,4.0,2025-04-01,"Good smoothie and drinks, however the fried chicken banh mi was extremely basic (just lettuce and tomato slice, no pickled veggies etc). From the other reviews it looks like other food items are fine, just avoid the banh mi!"
Trung_Nguyen_Legend_Coffee_World,,"https://www.google.com/maps/place/Trung+Nguyen+Legend+Coffee+World/@10.7798889,106.7006521,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f9c46865333:0x4c40c00efa3bd1aa!8m2!3d10.7798889!4d106.7006521!16s%2Fg%2F11ln09q0t3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Jimmy,2.0,2024-12-01,"I had a terrible experience at this location. I've asked for a ""Stewed tofu and mushroom with rice"" but was told it was out of stock. Then I asked for ""French fries"", which the cashier turned to her colleagues and started laughing. I asked if it was out of stock also, she said no. It was such an unpleasant interaction. Why would it be on the menu?  Lastly, I ordered a ""Legend coffee"" and a ""Fried rice with shredded chicken"". There was a bug in my soup, which I've returned to the kitchen. The rice was also tasteless.  Disappointed experience, would not come back."
Trung_Nguyen_Legend_Coffee_World,,"https://www.google.com/maps/place/Trung+Nguyen+Legend+Coffee+World/@10.7798889,106.7006521,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f9c46865333:0x4c40c00efa3bd1aa!8m2!3d10.7798889!4d106.7006521!16s%2Fg%2F11ln09q0t3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Zhuge Liang,4.0,2025-01-01,"Friendly service, though slower than expected given it was relatively empty at the time.  Coffee is good but overpriced compared to other popular chains - guess ambiance, fancy utensils and decor cost $ 😌🤭"
Trung_Nguyen_Legend_Coffee_World,,"https://www.google.com/maps/place/Trung+Nguyen+Legend+Coffee+World/@10.7798889,106.7006521,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f9c46865333:0x4c40c00efa3bd1aa!8m2!3d10.7798889!4d106.7006521!16s%2Fg%2F11ln09q0t3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Tran Jenny,5.0,2024-12-01,Trung Nguyen Legend is the best coffee ever. With this new location it's a wonderful place to enjoy the coffee moment. Always five star for nice staff Mr Nghia and the team. Highly suggest for the place 🤚🏻🤚🏻🤚🏻
Trung_Nguyen_Legend_Coffee_World,,"https://www.google.com/maps/place/Trung+Nguyen+Legend+Coffee+World/@10.7798889,106.7006521,17z/data=!3m1!4b1!4m6!3m5!1s0x31752f9c46865333:0x4c40c00efa3bd1aa!8m2!3d10.7798889!4d106.7006521!16s%2Fg%2F11ln09q0t3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",James Park,5.0,2024-10-01,Nicely situated cafe as this is very close to major attractions in the area. Coffee and food are great. But I wish the ambiance and furnitures coups be a little better. By ambiance I mean the mix of ambiance of sound and signage TV sounds playing together.  I hear safe sound then a sound of Anthony Bourdain to the backdrop of the chain advertising.  I wish they would turn one sound source off.
