places,address,link,user,star,creat_date,comment
Trung_Nguyên_Legend,,"https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend/@10.7475405,106.6497568,17z/data=!4m6!3m5!1s0x31752ff51256ec2b:0x8e05b237ab69d435!8m2!3d10.7475405!4d106.6497568!16s%2Fg%2F11lkgh9hz2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Maria Hy,4.0,2025-04-01,Good drinks. Nice place to escape the heat.  Good service.
Trung_Nguyên_Legend,,"https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend/@10.7475405,106.6497568,17z/data=!4m6!3m5!1s0x31752ff51256ec2b:0x8e05b237ab69d435!8m2!3d10.7475405!4d106.6497568!16s%2Fg%2F11lkgh9hz2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",30 Tài,5.0,2025-01-01,perfect
Trung_Nguyên_Legend,,"https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend/@10.7475405,106.6497568,17z/data=!4m6!3m5!1s0x31752ff51256ec2b:0x8e05b237ab69d435!8m2!3d10.7475405!4d106.6497568!16s%2Fg%2F11lkgh9hz2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Thang Huynh,5.0,2025-02-01,Good coffee
Trung_Nguyên_Legend,,"https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend/@10.7475405,106.6497568,17z/data=!4m6!3m5!1s0x31752ff51256ec2b:0x8e05b237ab69d435!8m2!3d10.7475405!4d106.6497568!16s%2Fg%2F11lkgh9hz2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",BD1,2.0,2025-03-11,"Review of Trung Nguyen Coffee - Remax: Disappointment after upgrading  I have been a regular customer of Trung Nguyen Coffee - Remax for more than half a year, especially love the egg meat sandwich with coffee at a reasonable combo price of 55,000 VND. However, after the restaurant was upgraded, my experience completely changed in a negative direction. Disappointing points: * Price hike: The price of a single egg shumai sandwich has increased to 66,000 VND, a price too high compared to the quality received. * Food quality has decreased: The taste of egg shumai bread is no longer as good as before, far behind the Remax Coffee shop next door with a more affordable price (45,000 VND). * Noisy space: Using a lot of glass in the design makes the shop very noisy, especially when there are many customers. The chatter of groups of customers creates a bustling feeling like a market, losing the inherent quietness of a coffee shop.  * Inadequate upgrades: Although the restaurant space is more beautiful and luxurious after the upgrade, these changes cannot compensate for the decrease in food quality and increase in prices.  Conclude: With the current price and quality of food like that, I will never return to Trung Nguyen Coffee - Remax again. I feel disappointed by this negative change."
Trung_Nguyên_Legend,,"https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend/@10.7475405,106.6497568,17z/data=!4m6!3m5!1s0x31752ff51256ec2b:0x8e05b237ab69d435!8m2!3d10.7475405!4d106.6497568!16s%2Fg%2F11lkgh9hz2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Phát Thuận,5.0,2025-01-01,"Delicious yellow lotus sticky rice leaf tea, beautifully decorated🫶 Enthusiastic and friendly staff Comfortable space, suitable for working, with outdoor tables and chairs overlooking the park🌳"
Trung_Nguyên_Legend,,"https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend/@10.7475405,106.6497568,17z/data=!4m6!3m5!1s0x31752ff51256ec2b:0x8e05b237ab69d435!8m2!3d10.7475405!4d106.6497568!16s%2Fg%2F11lkgh9hz2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Kim Xuân,5.0,2025-01-01,"Diverse drinks and food, eye-catching and sophisticated presentation. Comfortable and luxurious space. Enthusiastic, fun, cute staff."
Trung_Nguyên_Legend,,"https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend/@10.7475405,106.6497568,17z/data=!4m6!3m5!1s0x31752ff51256ec2b:0x8e05b237ab69d435!8m2!3d10.7475405!4d106.6497568!16s%2Fg%2F11lkgh9hz2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Đại Linh Quảng,5.0,2025-03-18,"Beautiful shop, friendly staff, fragrant coffee with many grades from mild to strong. And what I like and feel most comfortable with is the very good service."
Trung_Nguyên_Legend,,"https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend/@10.7475405,106.6497568,17z/data=!4m6!3m5!1s0x31752ff51256ec2b:0x8e05b237ab69d435!8m2!3d10.7475405!4d106.6497568!16s%2Fg%2F11lkgh9hz2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Như Ngọc,5.0,2025-03-18,"The first time I came to the shop was also the first time I tried coconut coffee, which is very delicious and fragrant. Having a separate coffee is very convenient for those who don't use a lot of coffee and can mix it as they like. The staff is very enthusiastic and cheerful, the space is large and suitable for groups to meet and meet, so next time I have the opportunity, I will bring my family here."
Trung_Nguyên_Legend,,"https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend/@10.7475405,106.6497568,17z/data=!4m6!3m5!1s0x31752ff51256ec2b:0x8e05b237ab69d435!8m2!3d10.7475405!4d106.6497568!16s%2Fg%2F11lkgh9hz2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Sương Phạm thị thu,5.0,2025-01-01,"Large, airy, luxurious space.. many beautiful decor corners suitable for the Christmas season, enthusiastic, cute, friendly and polite consultants☺️☺️ excellent and delicious drinks at reasonable prices🧡"
Trung_Nguyên_Legend,,"https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend/@10.7475405,106.6497568,17z/data=!4m6!3m5!1s0x31752ff51256ec2b:0x8e05b237ab69d435!8m2!3d10.7475405!4d106.6497568!16s%2Fg%2F11lkgh9hz2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Lý Mỹ Thúy,5.0,2025-01-01,"Luxurious restaurant, airy space, diverse menu of delicious food and drinks"
Trung_Nguyên_Legend,,"https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend/@10.7475405,106.6497568,17z/data=!4m6!3m5!1s0x31752ff51256ec2b:0x8e05b237ab69d435!8m2!3d10.7475405!4d106.6497568!16s%2Fg%2F11lkgh9hz2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Seto,5.0,2025-01-01,"The space is luxurious and clean, the seats are comfortable, there are rows of tables facing the street, and chill seating"
Trung_Nguyên_Legend,,"https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend/@10.7475405,106.6497568,17z/data=!4m6!3m5!1s0x31752ff51256ec2b:0x8e05b237ab69d435!8m2!3d10.7475405!4d106.6497568!16s%2Fg%2F11lkgh9hz2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Duong Chris,5.0,2025-01-01,"Classy Trung Nguyen Coffee Shop in District 6, a place that brings pride and love for Vietnamese coffee! 🇻🇳☕"
Trung_Nguyên_Legend,,"https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend/@10.7475405,106.6497568,17z/data=!4m6!3m5!1s0x31752ff51256ec2b:0x8e05b237ab69d435!8m2!3d10.7475405!4d106.6497568!16s%2Fg%2F11lkgh9hz2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Phúc Tiến (Phúc Tiến Tarot),5.0,2024-08-01,"Enter the cool, air-conditioned shop and make a cup of iced black coffee with a machine for only 25k. Iced tea, enthusiastic and enthusiastic young staff takes unlimited extra care.  The food is delicious with a diverse menu. There is a combo of banh mi shumai + cup of coffee for 50k, sold out. At noon, having rice and soup is ok.  The toilet area is outside. The car has parking and security so it looks good for both motorbikes and cars.  One minus point is that it doesn't favor digital nomads like me when there is no power outlet at the desk."
Trung_Nguyên_Legend,,"https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend/@10.7475405,106.6497568,17z/data=!4m6!3m5!1s0x31752ff51256ec2b:0x8e05b237ab69d435!8m2!3d10.7475405!4d106.6497568!16s%2Fg%2F11lkgh9hz2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",ViCuong Ly,5.0,2025-01-01,"The restaurant's space is luxurious, the staff are very professional and hospitable, taking care of me more than their own children"
