places,address,link,user,star,creat_date,comment
Highlands_Coffee_Vincom_Xuân_Khánh,"209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Highlands+Coffee+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0247747,105.7750523,17z/data=!4m6!3m5!1s0x31a08825b4f6bb23:0x17158015b921f5e5!8m2!3d10.0247747!4d105.7750523!16s%2Fg%2F11c2cwj5tc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Thái Đoàn,1.0,2025-04-01,"no employees willing to clean previous customer's leftovers, peach tea was a bit blech, overall 6/10 second time come back to this place, no restroom, outdoor atmosphere was dull."
Highlands_Coffee_Vincom_Xuân_Khánh,"209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Highlands+Coffee+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0247747,105.7750523,17z/data=!4m6!3m5!1s0x31a08825b4f6bb23:0x17158015b921f5e5!8m2!3d10.0247747!4d105.7750523!16s%2Fg%2F11c2cwj5tc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Max A,3.0,2024-04-01,This place is pretty busy. They have good coffee and food. It's a but dirty though.
Highlands_Coffee_Vincom_Xuân_Khánh,"209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Highlands+Coffee+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0247747,105.7750523,17z/data=!4m6!3m5!1s0x31a08825b4f6bb23:0x17158015b921f5e5!8m2!3d10.0247747!4d105.7750523!16s%2Fg%2F11c2cwj5tc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Ko Koo,5.0,2025-02-01,Ok.
Highlands_Coffee_Vincom_Xuân_Khánh,"209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Highlands+Coffee+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0247747,105.7750523,17z/data=!4m6!3m5!1s0x31a08825b4f6bb23:0x17158015b921f5e5!8m2!3d10.0247747!4d105.7750523!16s%2Fg%2F11c2cwj5tc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Eddy Oler (Meno),2.0,2024-04-01,"Coffees ☕️ were not good, and aquatics was too bad... but locals seem OK with it."
Highlands_Coffee_Vincom_Xuân_Khánh,"209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Highlands+Coffee+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0247747,105.7750523,17z/data=!4m6!3m5!1s0x31a08825b4f6bb23:0x17158015b921f5e5!8m2!3d10.0247747!4d105.7750523!16s%2Fg%2F11c2cwj5tc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Francois Wolff,5.0,2025-04-01,"Very good black coffee ! More expensive than little street café, but you get the real taste of coffee there !"
Highlands_Coffee_Vincom_Xuân_Khánh,"209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Highlands+Coffee+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0247747,105.7750523,17z/data=!4m6!3m5!1s0x31a08825b4f6bb23:0x17158015b921f5e5!8m2!3d10.0247747!4d105.7750523!16s%2Fg%2F11c2cwj5tc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Gia The Dang,2.0,2025-04-01,"10pm on New Year night, a staff brandished her broom around me as she wishes to close the shop. Poor my New Year time 😂 …"
Highlands_Coffee_Vincom_Xuân_Khánh,"209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Highlands+Coffee+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0247747,105.7750523,17z/data=!4m6!3m5!1s0x31a08825b4f6bb23:0x17158015b921f5e5!8m2!3d10.0247747!4d105.7750523!16s%2Fg%2F11c2cwj5tc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",HOANG Tuan Anh,3.0,2025-04-01,Outdoor environment is nice but facilities too bad. Very dangerous for customers
Highlands_Coffee_Vincom_Xuân_Khánh,"209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Highlands+Coffee+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0247747,105.7750523,17z/data=!4m6!3m5!1s0x31a08825b4f6bb23:0x17158015b921f5e5!8m2!3d10.0247747!4d105.7750523!16s%2Fg%2F11c2cwj5tc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Alec Cox,4.0,2025-04-01,"Really clean and trendy place. I liked their cà phê, close to what you'd find in the states."
Highlands_Coffee_Vincom_Xuân_Khánh,"209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Highlands+Coffee+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0247747,105.7750523,17z/data=!4m6!3m5!1s0x31a08825b4f6bb23:0x17158015b921f5e5!8m2!3d10.0247747!4d105.7750523!16s%2Fg%2F11c2cwj5tc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Michael S,4.0,2025-04-01,Nice Starbuck like Cafe
Highlands_Coffee_Vincom_Xuân_Khánh,"209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Highlands+Coffee+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0247747,105.7750523,17z/data=!4m6!3m5!1s0x31a08825b4f6bb23:0x17158015b921f5e5!8m2!3d10.0247747!4d105.7750523!16s%2Fg%2F11c2cwj5tc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Dam Tran Thanh,3.0,2025-04-01,Good place for coffee and milk shake. Also good for freelanders
