places,address,link,user,star,creat_date,comment,data_llm
Trung_Nguyên_E-Coffee_71-73A6_Hung_Phu_1,"71-73A6 Đ. Nguyễn Thái Sơn, KDC Hưng Phú 1, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+71-73A6+Hung+Phu+1/@10.0203175,105.7883746,17z/data=!4m6!3m5!1s0x31a063758f35293b:0x7f8918f2e1cbc839!8m2!3d10.0203175!4d105.7883746!16s%2Fg%2F11ryhd9tmc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Kim Rin,5.0,2025-04-01,The waiters have a warm heart ..thanks for ur serve,"
{
    ""danh_sach_tu_tot"": ""warm heart"",
    ""danh_sach_tu_xau"": null
}
"
Trung_Nguyên_E-Coffee_71-73A6_Hung_Phu_1,"71-73A6 Đ. Nguyễn Thái Sơn, KDC Hưng Phú 1, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+71-73A6+Hung+Phu+1/@10.0203175,105.7883746,17z/data=!4m6!3m5!1s0x31a063758f35293b:0x7f8918f2e1cbc839!8m2!3d10.0203175!4d105.7883746!16s%2Fg%2F11ryhd9tmc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Trung Vinh Nguyễn,5.0,2024-06-01,"The restaurant has air-conditioned space and outdoor view. The service staff is very good and knows how to pay attention to customers. There is a large parking lot with lots of parking. The menu is still the same Trung Nguyen e-coffee brand, prices from 2x or more.","
{
    ""danh_sach_tu_tot"": ""good"",
    ""danh_sach_tu_xau"": null
}
"
Trung_Nguyên_E-Coffee_71-73A6_Hung_Phu_1,"71-73A6 Đ. Nguyễn Thái Sơn, KDC Hưng Phú 1, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+71-73A6+Hung+Phu+1/@10.0203175,105.7883746,17z/data=!4m6!3m5!1s0x31a063758f35293b:0x7f8918f2e1cbc839!8m2!3d10.0203175!4d105.7883746!16s%2Fg%2F11ryhd9tmc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Zen Anh Dao,4.0,2024-04-01,"I always love Trung Nguyen's two drinks, which are the refreshing Herbal Tea and the fainting tea (I always order some coffee, fragrant coffee, but because I often get drunk, I always mix it as I like). The staff were cute, polite, welcomed me enthusiastically and happily helped me get some iced tea. I find the shop's view cute You can park your car outside, the surroundings are quite quiet and there is space to sit outside and relax, chill chill. I sat in the cold room inside and listened to soft music.","
{
    ""danh_sach_tu_tot"": ""love, refreshing, fragrant, cute, polite, welcomed me enthusiastically, happily, cute, quiet, relax, chill chill, soft"",
    ""danh_sach_tu_xau"": ""fainting, drunk""
}
"
Trung_Nguyên_E-Coffee_71-73A6_Hung_Phu_1,"71-73A6 Đ. Nguyễn Thái Sơn, KDC Hưng Phú 1, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+71-73A6+Hung+Phu+1/@10.0203175,105.7883746,17z/data=!4m6!3m5!1s0x31a063758f35293b:0x7f8918f2e1cbc839!8m2!3d10.0203175!4d105.7883746!16s%2Fg%2F11ryhd9tmc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Hạnh Lê Huỳnh,4.0,2024-12-01,Suggested and tried refreshing tea with all kinds of toppings but it was not delicious.,"
{
    ""danh_sach_tu_tot"": ""delicious"",
    ""danh_sach_tu_xau"": ""not delicious""
}
"
Trung_Nguyên_E-Coffee_71-73A6_Hung_Phu_1,"71-73A6 Đ. Nguyễn Thái Sơn, KDC Hưng Phú 1, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+71-73A6+Hung+Phu+1/@10.0203175,105.7883746,17z/data=!4m6!3m5!1s0x31a063758f35293b:0x7f8918f2e1cbc839!8m2!3d10.0203175!4d105.7883746!16s%2Fg%2F11ryhd9tmc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Lê Trào,5.0,2024-04-01,"What a beautiful cafe! View to sit and work without a desk Going to work early today so I ordered take home. The staff is enthusiastic, polite, thoughtful, and cute. <3","
{
    ""danh_sach_tu_tot"": ""beautiful, enthusiastic, polite, thoughtful, cute"",
    ""danh_sach_tu_xau"": null
}
"
Trung_Nguyên_E-Coffee_71-73A6_Hung_Phu_1,"71-73A6 Đ. Nguyễn Thái Sơn, KDC Hưng Phú 1, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+71-73A6+Hung+Phu+1/@10.0203175,105.7883746,17z/data=!4m6!3m5!1s0x31a063758f35293b:0x7f8918f2e1cbc839!8m2!3d10.0203175!4d105.7883746!16s%2Fg%2F11ryhd9tmc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Vdesign - Website Theo Yêu Cầu,4.0,2024-04-01,"The restaurant has a relatively large space, beautiful decoration, drinks are off the table, but the service is a bit slow.","
{
    ""danh_sach_tu_tot"": ""large, beautiful"",
    ""danh_sach_tu_xau"": ""slow""
}
"
Trung_Nguyên_E-Coffee_71-73A6_Hung_Phu_1,"71-73A6 Đ. Nguyễn Thái Sơn, KDC Hưng Phú 1, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+71-73A6+Hung+Phu+1/@10.0203175,105.7883746,17z/data=!4m6!3m5!1s0x31a063758f35293b:0x7f8918f2e1cbc839!8m2!3d10.0203175!4d105.7883746!16s%2Fg%2F11ryhd9tmc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Huynh Hieu Travel,4.0,2024-08-01,"E-Coffee shop has airy space. The inside is spacious, suitable for gathering with friends to chat.","
{
    ""danh_sach_tu_tot"": ""airy, spacious, suitable"",
    ""danh_sach_tu_xau"": """"
}
"
Trung_Nguyên_E-Coffee_71-73A6_Hung_Phu_1,"71-73A6 Đ. Nguyễn Thái Sơn, KDC Hưng Phú 1, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+71-73A6+Hung+Phu+1/@10.0203175,105.7883746,17z/data=!4m6!3m5!1s0x31a063758f35293b:0x7f8918f2e1cbc839!8m2!3d10.0203175!4d105.7883746!16s%2Fg%2F11ryhd9tmc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Jack Max's Channel,5.0,2025-04-01,"The shop is very clean and comfortable! Beautiful space and lovely staff. The fruit cocktail is quite delicious, with added jelly so it's very enjoyable to eat.","
{
    ""danh_sach_tu_tot"": ""clean, comfortable, beautiful, lovely, delicious, enjoyable"",
    ""danh_sach_tu_xau"": null
}
"
Trung_Nguyên_E-Coffee_71-73A6_Hung_Phu_1,"71-73A6 Đ. Nguyễn Thái Sơn, KDC Hưng Phú 1, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+71-73A6+Hung+Phu+1/@10.0203175,105.7883746,17z/data=!4m6!3m5!1s0x31a063758f35293b:0x7f8918f2e1cbc839!8m2!3d10.0203175!4d105.7883746!16s%2Fg%2F11ryhd9tmc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Tang Quoc Cuong,5.0,2024-04-01,"Good coffee! I ordered an energy coffee (milk, ice). Service is fun, delivery to the chair, and the owner is so sweet to talk to! worth a try!","
{
    ""danh_sach_tu_tot"": ""Good, fun, sweet, worth a try"",
    ""danh_sach_tu_xau"": null
}
"
Trung_Nguyên_E-Coffee_71-73A6_Hung_Phu_1,"71-73A6 Đ. Nguyễn Thái Sơn, KDC Hưng Phú 1, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+71-73A6+Hung+Phu+1/@10.0203175,105.7883746,17z/data=!4m6!3m5!1s0x31a063758f35293b:0x7f8918f2e1cbc839!8m2!3d10.0203175!4d105.7883746!16s%2Fg%2F11ryhd9tmc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Lam Nguyen,5.0,2024-09-01,"Delicious water, suitable for taste, reasonable price, cool space, cute staff","
{
    ""danh_sach_tu_tot"": ""Delicious, suitable, reasonable price, cool, cute"",
    ""danh_sach_tu_xau"": """"
}
"
