places,address,link,user,star,creat_date,comment
Trung_Nguyên_E-Coffee_Ninh_Kiều,"56A Đ. Nam Kỳ Khởi Nghĩa, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+Ninh+Ki%E1%BB%81u/@10.0323335,105.7842855,17z/data=!4m6!3m5!1s0x31a0638ada2a3de5:0x5aa615b35f930ed1!8m2!3d10.0323335!4d105.7842855!16s%2Fg%2F11qpzgy6cl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",hanh lam,1.0,2025-02-01,No coffe @6h35 am. On the door Open: 6 am. So curious what they are servicing for that amount of time.
Trung_Nguyên_E-Coffee_Ninh_Kiều,"56A Đ. Nam Kỳ Khởi Nghĩa, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+Ninh+Ki%E1%BB%81u/@10.0323335,105.7842855,17z/data=!4m6!3m5!1s0x31a0638ada2a3de5:0x5aa615b35f930ed1!8m2!3d10.0323335!4d105.7842855!16s%2Fg%2F11qpzgy6cl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Khánh Thư Nguyễn,4.0,2025-04-01,Reasonable price Good vibe coffee shop Worth to try Nine workplace
Trung_Nguyên_E-Coffee_Ninh_Kiều,"56A Đ. Nam Kỳ Khởi Nghĩa, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+Ninh+Ki%E1%BB%81u/@10.0323335,105.7842855,17z/data=!4m6!3m5!1s0x31a0638ada2a3de5:0x5aa615b35f930ed1!8m2!3d10.0323335!4d105.7842855!16s%2Fg%2F11qpzgy6cl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Marcel Cybon,5.0,2025-04-01,"Finally good coffee in Can Tho. Excellent roasted, strong, hot black coffee. Served with some interesting rice tea. Friendly staff, good atmosphere."
Trung_Nguyên_E-Coffee_Ninh_Kiều,"56A Đ. Nam Kỳ Khởi Nghĩa, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+Ninh+Ki%E1%BB%81u/@10.0323335,105.7842855,17z/data=!4m6!3m5!1s0x31a0638ada2a3de5:0x5aa615b35f930ed1!8m2!3d10.0323335!4d105.7842855!16s%2Fg%2F11qpzgy6cl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Cedric,5.0,2025-04-01,Good coffee shop in Can Tho.
Trung_Nguyên_E-Coffee_Ninh_Kiều,"56A Đ. Nam Kỳ Khởi Nghĩa, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+Ninh+Ki%E1%BB%81u/@10.0323335,105.7842855,17z/data=!4m6!3m5!1s0x31a0638ada2a3de5:0x5aa615b35f930ed1!8m2!3d10.0323335!4d105.7842855!16s%2Fg%2F11qpzgy6cl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Kevin Tran,4.0,2025-01-01,Good coffee.
Trung_Nguyên_E-Coffee_Ninh_Kiều,"56A Đ. Nam Kỳ Khởi Nghĩa, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+Ninh+Ki%E1%BB%81u/@10.0323335,105.7842855,17z/data=!4m6!3m5!1s0x31a0638ada2a3de5:0x5aa615b35f930ed1!8m2!3d10.0323335!4d105.7842855!16s%2Fg%2F11qpzgy6cl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",TÂM VĂN LÊ,5.0,2024-04-01,Great
Trung_Nguyên_E-Coffee_Ninh_Kiều,"56A Đ. Nam Kỳ Khởi Nghĩa, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+Ninh+Ki%E1%BB%81u/@10.0323335,105.7842855,17z/data=!4m6!3m5!1s0x31a0638ada2a3de5:0x5aa615b35f930ed1!8m2!3d10.0323335!4d105.7842855!16s%2Fg%2F11qpzgy6cl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",HOANG PHAN THANH,5.0,2024-04-01,Perfect coffee
Trung_Nguyên_E-Coffee_Ninh_Kiều,"56A Đ. Nam Kỳ Khởi Nghĩa, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+Ninh+Ki%E1%BB%81u/@10.0323335,105.7842855,17z/data=!4m6!3m5!1s0x31a0638ada2a3de5:0x5aa615b35f930ed1!8m2!3d10.0323335!4d105.7842855!16s%2Fg%2F11qpzgy6cl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Giang Nguyen,4.0,2025-04-01,OK
Trung_Nguyên_E-Coffee_Ninh_Kiều,"56A Đ. Nam Kỳ Khởi Nghĩa, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+Ninh+Ki%E1%BB%81u/@10.0323335,105.7842855,17z/data=!4m6!3m5!1s0x31a0638ada2a3de5:0x5aa615b35f930ed1!8m2!3d10.0323335!4d105.7842855!16s%2Fg%2F11qpzgy6cl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",EVNSPC,3.0,2025-04-01,Normal
Trung_Nguyên_E-Coffee_Ninh_Kiều,"56A Đ. Nam Kỳ Khởi Nghĩa, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee+Ninh+Ki%E1%BB%81u/@10.0323335,105.7842855,17z/data=!4m6!3m5!1s0x31a0638ada2a3de5:0x5aa615b35f930ed1!8m2!3d10.0323335!4d105.7842855!16s%2Fg%2F11qpzgy6cl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",THANG MA0,5.0,2025-04-01,"The hygiene is good, the air is very fresh and cool, the staff is very gentle and polite, Trung Nguyen's machine-brewed coffee is so good, it can be made in the morning until the afternoon, Trung Nguyen's other dishes are also very delicious, all of them are available (calming herbal tea, butterfly pea flower fresh milk..., only Trung Nguyen has anta tea)."
