places,address,link,user,star,creat_date,comment
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8058746,106.678511,17z/data=!4m6!3m5!1s0x31752920a1a071f1:0xe9fb227e0847c978!8m2!3d10.8058746!4d106.678511!16s%2Fg%2F1tnspdzy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Janos,5.0,2025-04-01,"Love their places. I always buy their coffee in the supermarket, and it’s great to come here once in a while to drink it for real. I also recommend to buy their Trung Nguyen Phin filters. They are exceptionally well crafted and beautiful."
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8058746,106.678511,17z/data=!4m6!3m5!1s0x31752920a1a071f1:0xe9fb227e0847c978!8m2!3d10.8058746!4d106.678511!16s%2Fg%2F1tnspdzy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Nguyen Duc Nguyen,1.0,2025-04-01,Small coffee shop and people are allow to smoking. Yuck. Stay for 10 minutes to drink my coffee and then have to leave.
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8058746,106.678511,17z/data=!4m6!3m5!1s0x31752920a1a071f1:0xe9fb227e0847c978!8m2!3d10.8058746!4d106.678511!16s%2Fg%2F1tnspdzy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Hồ Hiếu,5.0,2025-04-01,Good place to chill. Staffs are supported with the voucher.
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8058746,106.678511,17z/data=!4m6!3m5!1s0x31752920a1a071f1:0xe9fb227e0847c978!8m2!3d10.8058746!4d106.678511!16s%2Fg%2F1tnspdzy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Ha Jay,1.0,2025-04-01,"Really. Smoking allow inside the shop?  Smoker dont smell it but others do. This is harmful for others as well. Trung Nguyen coffee is good but this is terrible. Would never come back again. If you accidentally come here, welcome to Trung Nguyen smoke house."
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8058746,106.678511,17z/data=!4m6!3m5!1s0x31752920a1a071f1:0xe9fb227e0847c978!8m2!3d10.8058746!4d106.678511!16s%2Fg%2F1tnspdzy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Dariusz Wierzbicki,2.0,2024-05-01,"Nice quiet place,  but without no smoking area. So you have to accept to be a passive smoker."
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8058746,106.678511,17z/data=!4m6!3m5!1s0x31752920a1a071f1:0xe9fb227e0847c978!8m2!3d10.8058746!4d106.678511!16s%2Fg%2F1tnspdzy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Kevin Jeong,5.0,2025-04-01,Here is the very first Trung Nguyen coffee shop of over 500 shops now. Dang Le Nguyen Vu is adorable man with a great will.
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8058746,106.678511,17z/data=!4m6!3m5!1s0x31752920a1a071f1:0xe9fb227e0847c978!8m2!3d10.8058746!4d106.678511!16s%2Fg%2F1tnspdzy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Kate Lý Johnston,5.0,2024-04-01,What a lovely place :)
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8058746,106.678511,17z/data=!4m6!3m5!1s0x31752920a1a071f1:0xe9fb227e0847c978!8m2!3d10.8058746!4d106.678511!16s%2Fg%2F1tnspdzy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Minh Khương Lữ,5.0,2025-04-01,Nice place to try original coffee directly in the shop and enjoy beatiful view
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8058746,106.678511,17z/data=!4m6!3m5!1s0x31752920a1a071f1:0xe9fb227e0847c978!8m2!3d10.8058746!4d106.678511!16s%2Fg%2F1tnspdzy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Huy Quang Nguyen,5.0,2025-04-01,"Coffee and service here are really good, staff is friendly."
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8058746,106.678511,17z/data=!4m6!3m5!1s0x31752920a1a071f1:0xe9fb227e0847c978!8m2!3d10.8058746!4d106.678511!16s%2Fg%2F1tnspdzy?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Gene An,5.0,2025-04-01,Great atmosphere but ppl smoking inside
