places,address,link,user,star,creat_date,comment,data_llm
Trường_Phổ_Thông_FPT_Cần_Thơ,"Số 600 Nguyễn Văn Cừ Nối Dài, An Bình, Bình Thủy, Cần Thơ","https://www.google.com/maps/place/Tr%C6%B0%E1%BB%9Dng+Ph%E1%BB%95+Th%C3%B4ng+FPT+C%E1%BA%A7n+Th%C6%A1/@10.0126004,105.7318029,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e3c9b15bdd:0x4515f9b734651a19!8m2!3d10.0126004!4d105.7318029!16s%2Fg%2F11h60tgk71?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",23-Tống Thiện Nhân,5.0,2025-04-06,This place look like fun,
Trường_Phổ_Thông_FPT_Cần_Thơ,"Số 600 Nguyễn Văn Cừ Nối Dài, An Bình, Bình Thủy, Cần Thơ","https://www.google.com/maps/place/Tr%C6%B0%E1%BB%9Dng+Ph%E1%BB%95+Th%C3%B4ng+FPT+C%E1%BA%A7n+Th%C6%A1/@10.0126004,105.7318029,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e3c9b15bdd:0x4515f9b734651a19!8m2!3d10.0126004!4d105.7318029!16s%2Fg%2F11h60tgk71?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Ken Alison,5.0,2024-11-06,"The teacher in class is cute, but the teacher in charge is difficult and hateful. Facilities are a bit degraded. In the morning there was no hot water in the dormitory. The fire alarm doesn't work and it rings very annoyingly. Although it is known as a technology school, there is no wifi in the dormitory so you have to use 4G but the signal is very weak. In the lecture hall, there is wifi but it is also weak and controlled so you can't play games 😡",
Trường_Phổ_Thông_FPT_Cần_Thơ,"Số 600 Nguyễn Văn Cừ Nối Dài, An Bình, Bình Thủy, Cần Thơ","https://www.google.com/maps/place/Tr%C6%B0%E1%BB%9Dng+Ph%E1%BB%95+Th%C3%B4ng+FPT+C%E1%BA%A7n+Th%C6%A1/@10.0126004,105.7318029,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e3c9b15bdd:0x4515f9b734651a19!8m2!3d10.0126004!4d105.7318029!16s%2Fg%2F11h60tgk71?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Đặng Công Vinh,5.0,2025-04-06,It is an ideal space to contribute to the comprehensive development of students. They are steps to help children enter university.,
Trường_Phổ_Thông_FPT_Cần_Thơ,"Số 600 Nguyễn Văn Cừ Nối Dài, An Bình, Bình Thủy, Cần Thơ","https://www.google.com/maps/place/Tr%C6%B0%E1%BB%9Dng+Ph%E1%BB%95+Th%C3%B4ng+FPT+C%E1%BA%A7n+Th%C6%A1/@10.0126004,105.7318029,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e3c9b15bdd:0x4515f9b734651a19!8m2!3d10.0126004!4d105.7318029!16s%2Fg%2F11h60tgk71?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Quan Cong,5.0,2024-09-06,"Good environment for children of high school age. After 1 year of studying, my child has grown tremendously: polite, independent, caring for those around him... Thank you, FPT teachers!",
Trường_Phổ_Thông_FPT_Cần_Thơ,"Số 600 Nguyễn Văn Cừ Nối Dài, An Bình, Bình Thủy, Cần Thơ","https://www.google.com/maps/place/Tr%C6%B0%E1%BB%9Dng+Ph%E1%BB%95+Th%C3%B4ng+FPT+C%E1%BA%A7n+Th%C6%A1/@10.0126004,105.7318029,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e3c9b15bdd:0x4515f9b734651a19!8m2!3d10.0126004!4d105.7318029!16s%2Fg%2F11h60tgk71?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Huyền Hồ,5.0,2025-04-06,"The way to school is very easy to find, the campus is clean, the teachers are very open, and the service is good",
Trường_Phổ_Thông_FPT_Cần_Thơ,"Số 600 Nguyễn Văn Cừ Nối Dài, An Bình, Bình Thủy, Cần Thơ","https://www.google.com/maps/place/Tr%C6%B0%E1%BB%9Dng+Ph%E1%BB%95+Th%C3%B4ng+FPT+C%E1%BA%A7n+Th%C6%A1/@10.0126004,105.7318029,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e3c9b15bdd:0x4515f9b734651a19!8m2!3d10.0126004!4d105.7318029!16s%2Fg%2F11h60tgk71?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Tien D,4.0,2024-04-06,"Everything is fine except for annoying martial arts. I don't understand how the school schedules classes. They put in extra subjects like shells in the first semester. If you have free time, then don't wait until the 4th semester to review for the exam. A bunch of miscellaneous martial arts subjects are included in the review. If you don't pass many exams, you'll be able to wear a martial arts uniform for half the semester and then pass it again without getting a belt or anything. In general, at this school, all the teachers are cute and all the subjects are worthwhile except for subjects. Martial arts is very confusing and doesn't understand how to schedule classes school",
Trường_Phổ_Thông_FPT_Cần_Thơ,"Số 600 Nguyễn Văn Cừ Nối Dài, An Bình, Bình Thủy, Cần Thơ","https://www.google.com/maps/place/Tr%C6%B0%E1%BB%9Dng+Ph%E1%BB%95+Th%C3%B4ng+FPT+C%E1%BA%A7n+Th%C6%A1/@10.0126004,105.7318029,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e3c9b15bdd:0x4515f9b734651a19!8m2!3d10.0126004!4d105.7318029!16s%2Fg%2F11h60tgk71?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Trang Banh,1.0,2024-04-06,"Life is not like a dream, guys. When you arrive, don't be disappointed, FPT School Can Tho is number 1, but 1⭐️",
Trường_Phổ_Thông_FPT_Cần_Thơ,"Số 600 Nguyễn Văn Cừ Nối Dài, An Bình, Bình Thủy, Cần Thơ","https://www.google.com/maps/place/Tr%C6%B0%E1%BB%9Dng+Ph%E1%BB%95+Th%C3%B4ng+FPT+C%E1%BA%A7n+Th%C6%A1/@10.0126004,105.7318029,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e3c9b15bdd:0x4515f9b734651a19!8m2!3d10.0126004!4d105.7318029!16s%2Fg%2F11h60tgk71?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Lzz Ica,1.0,2024-04-06,"The school's network is weak, there is no signal, the signal is weak, the school's regulations are confusing, not explained clearly to parents, there are children studying at FPT high school who need this letter so it is very clear, 1⭐️",
Trường_Phổ_Thông_FPT_Cần_Thơ,"Số 600 Nguyễn Văn Cừ Nối Dài, An Bình, Bình Thủy, Cần Thơ","https://www.google.com/maps/place/Tr%C6%B0%E1%BB%9Dng+Ph%E1%BB%95+Th%C3%B4ng+FPT+C%E1%BA%A7n+Th%C6%A1/@10.0126004,105.7318029,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e3c9b15bdd:0x4515f9b734651a19!8m2!3d10.0126004!4d105.7318029!16s%2Fg%2F11h60tgk71?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Nguyễn Iracye,1.0,2025-04-06,You should reconsider the attitude of the supervisor teacher as being no different from a gangster and also the problem of the phone signal and 4G network being too weak.,
Trường_Phổ_Thông_FPT_Cần_Thơ,"Số 600 Nguyễn Văn Cừ Nối Dài, An Bình, Bình Thủy, Cần Thơ","https://www.google.com/maps/place/Tr%C6%B0%E1%BB%9Dng+Ph%E1%BB%95+Th%C3%B4ng+FPT+C%E1%BA%A7n+Th%C6%A1/@10.0126004,105.7318029,17z/data=!3m1!4b1!4m6!3m5!1s0x31a089e3c9b15bdd:0x4515f9b734651a19!8m2!3d10.0126004!4d105.7318029!16s%2Fg%2F11h60tgk71?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Huy Bình Nguyễn,1.0,2024-04-06,"Technology school but the internet is not stable, too weak",
