places,address,link,user,star,creat_date,comment
Trung_Nguyen_Coffee_Legend,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee+Legend/@10.8019286,106.7117014,17z/data=!3m1!4b1!4m6!3m5!1s0x317528bad51d4709:0x820abd9114e74b5f!8m2!3d10.8019286!4d106.7117014!16s%2Fg%2F1tf054cc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",SydneyBoss,5.0,2025-01-01,You worth come to have one legend coffee
Trung_Nguyen_Coffee_Legend,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee+Legend/@10.8019286,106.7117014,17z/data=!3m1!4b1!4m6!3m5!1s0x317528bad51d4709:0x820abd9114e74b5f!8m2!3d10.8019286!4d106.7117014!16s%2Fg%2F1tf054cc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",David Carter (RichBossUK),4.0,2025-04-01,"Just love the upstair at night. However, price is very expensive compared with other local coffee stores, hot Latte costs up to 68k VND while it's just 55k at other stores. The change staff there gave me is torn. (See in the pic). Can't believe a famous brand can operate like that."
Trung_Nguyen_Coffee_Legend,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee+Legend/@10.8019286,106.7117014,17z/data=!3m1!4b1!4m6!3m5!1s0x317528bad51d4709:0x820abd9114e74b5f!8m2!3d10.8019286!4d106.7117014!16s%2Fg%2F1tf054cc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Ngoc Maggie,4.0,2025-04-01,Nice to have a business discussion. A little noisy from phone call of business guests. You can use your headphones or earphones while working. I will come back.
Trung_Nguyen_Coffee_Legend,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee+Legend/@10.8019286,106.7117014,17z/data=!3m1!4b1!4m6!3m5!1s0x317528bad51d4709:0x820abd9114e74b5f!8m2!3d10.8019286!4d106.7117014!16s%2Fg%2F1tf054cc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Anh Nam Nguyễn,4.0,2025-04-01,"Good espresso. Everything is fine except the chairs in the photo, their covers are too dirty. Price: 48.000 VND"
Trung_Nguyen_Coffee_Legend,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee+Legend/@10.8019286,106.7117014,17z/data=!3m1!4b1!4m6!3m5!1s0x317528bad51d4709:0x820abd9114e74b5f!8m2!3d10.8019286!4d106.7117014!16s%2Fg%2F1tf054cc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Quan Tran,4.0,2025-04-01,"Great coffee space!! Drinks are quite expensive, but good quality and beautiful."
Trung_Nguyen_Coffee_Legend,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee+Legend/@10.8019286,106.7117014,17z/data=!3m1!4b1!4m6!3m5!1s0x317528bad51d4709:0x820abd9114e74b5f!8m2!3d10.8019286!4d106.7117014!16s%2Fg%2F1tf054cc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Uyên Chung,5.0,2025-04-01,"Pretty good, especially coffee"
Trung_Nguyen_Coffee_Legend,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee+Legend/@10.8019286,106.7117014,17z/data=!3m1!4b1!4m6!3m5!1s0x317528bad51d4709:0x820abd9114e74b5f!8m2!3d10.8019286!4d106.7117014!16s%2Fg%2F1tf054cc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Xavier MALPARTY,4.0,2025-04-01,"A bit expensive, music volume was not stable so we moved from lounge atmosphere to noisy cafe-bar many times. Unless to say that I preferred the lounge one! Iced-thea is incredibly tasty, perfectly fit with an icedmilk coffee for a local taste!"
Trung_Nguyen_Coffee_Legend,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee+Legend/@10.8019286,106.7117014,17z/data=!3m1!4b1!4m6!3m5!1s0x317528bad51d4709:0x820abd9114e74b5f!8m2!3d10.8019286!4d106.7117014!16s%2Fg%2F1tf054cc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",bao quoc nguyen ngoc,5.0,2024-07-01,The toilet is really old and not corresponding to the  beautiful decoration and place
Trung_Nguyen_Coffee_Legend,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee+Legend/@10.8019286,106.7117014,17z/data=!3m1!4b1!4m6!3m5!1s0x317528bad51d4709:0x820abd9114e74b5f!8m2!3d10.8019286!4d106.7117014!16s%2Fg%2F1tf054cc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Bao Uyen Huynh,5.0,2024-11-01,So good!
Trung_Nguyen_Coffee_Legend,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee+Legend/@10.8019286,106.7117014,17z/data=!3m1!4b1!4m6!3m5!1s0x317528bad51d4709:0x820abd9114e74b5f!8m2!3d10.8019286!4d106.7117014!16s%2Fg%2F1tf054cc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",KatsuGao Pham,4.0,2025-04-01,"Good coffee, good design at the new shop, do not come to store locate in city center: crownded and bad design. Must try ""Pho Kho"""
Trung_Nguyen_Coffee_Legend,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee+Legend/@10.8019286,106.7117014,17z/data=!3m1!4b1!4m6!3m5!1s0x317528bad51d4709:0x820abd9114e74b5f!8m2!3d10.8019286!4d106.7117014!16s%2Fg%2F1tf054cc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Linh NG.,3.0,2025-04-01,"Trung Nguyen is expensive and it doesn't worth for the space. Dirty chair, sunlight goes directly to the table without any mat to cover."
Trung_Nguyen_Coffee_Legend,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee+Legend/@10.8019286,106.7117014,17z/data=!3m1!4b1!4m6!3m5!1s0x317528bad51d4709:0x820abd9114e74b5f!8m2!3d10.8019286!4d106.7117014!16s%2Fg%2F1tf054cc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Hellen Huynh,3.0,2025-04-01,Good smoothie. Coffee ok. Nice location. Need a better air ventilation and better sắp xếp bàn ghế
Trung_Nguyen_Coffee_Legend,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee+Legend/@10.8019286,106.7117014,17z/data=!3m1!4b1!4m6!3m5!1s0x317528bad51d4709:0x820abd9114e74b5f!8m2!3d10.8019286!4d106.7117014!16s%2Fg%2F1tf054cc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Sergei,4.0,2024-04-01,Vietnamese drip coffee for 150k has interesting flavour.
