places,address,link,user,star,creat_date,comment,data_llm
FPT_University_HCMC,"7 Đ. D1, Long Thạnh Mỹ, Thủ Đức, Hồ Chí Minh 700000","https://www.google.com/maps/place/FPT+University+HCMC/@10.8411276,106.809883,17z/data=!4m6!3m5!1s0x31752731176b07b1:0xb752b24b379bae5e!8m2!3d10.8411276!4d106.809883!16s%2Fg%2F11j2zx_fz_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Khương Duy (Satoh Tofu),5.0,2024-04-06,"I love my School :))) I love my School for 4 days :))) Spring, Summer, Fall, Winter... =)))","
{
    ""danh_sach_tu_tot"": ""love"",
    ""danh_sach_tu_xau"": null
}
"
FPT_University_HCMC,"7 Đ. D1, Long Thạnh Mỹ, Thủ Đức, Hồ Chí Minh 700000","https://www.google.com/maps/place/FPT+University+HCMC/@10.8411276,106.809883,17z/data=!4m6!3m5!1s0x31752731176b07b1:0xb752b24b379bae5e!8m2!3d10.8411276!4d106.809883!16s%2Fg%2F11j2zx_fz_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Chuong Nguyen-Nhu (Chris Chuong),5.0,2024-04-06,Nice eco campus with plenty of trees and plants and great facilities for students and staff.,"
{
    ""danh_sach_tu_tot"": ""Nice, great"",
    ""danh_sach_tu_xau"": """"
}
"
FPT_University_HCMC,"7 Đ. D1, Long Thạnh Mỹ, Thủ Đức, Hồ Chí Minh 700000","https://www.google.com/maps/place/FPT+University+HCMC/@10.8411276,106.809883,17z/data=!4m6!3m5!1s0x31752731176b07b1:0xb752b24b379bae5e!8m2!3d10.8411276!4d106.809883!16s%2Fg%2F11j2zx_fz_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Dung Huynh,5.0,2024-04-06,"Very nice place, more shots when i have time","
{
    ""danh_sach_tu_tot"": ""Very nice"",
    ""danh_sach_tu_xau"": null
}
"
FPT_University_HCMC,"7 Đ. D1, Long Thạnh Mỹ, Thủ Đức, Hồ Chí Minh 700000","https://www.google.com/maps/place/FPT+University+HCMC/@10.8411276,106.809883,17z/data=!4m6!3m5!1s0x31752731176b07b1:0xb752b24b379bae5e!8m2!3d10.8411276!4d106.809883!16s%2Fg%2F11j2zx_fz_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Nguyễn Trường Thắng,4.0,2025-04-06,"The school is big and I indeed have a fun time studying there. Though I have never experienced it, there were rumors that there were usually thiefs around 6 - 7pm","
{
    ""danh_sach_tu_tot"": ""fun"",
    ""danh_sach_tu_xau"": ""thiefs""
}
"
FPT_University_HCMC,"7 Đ. D1, Long Thạnh Mỹ, Thủ Đức, Hồ Chí Minh 700000","https://www.google.com/maps/place/FPT+University+HCMC/@10.8411276,106.809883,17z/data=!4m6!3m5!1s0x31752731176b07b1:0xb752b24b379bae5e!8m2!3d10.8411276!4d106.809883!16s%2Fg%2F11j2zx_fz_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Mr. Bek,5.0,2024-09-06,The watchmen at the parking lot are very friendly and supportive!,"
{
    ""danh_sach_tu_tot"": ""friendly, supportive"",
    ""danh_sach_tu_xau"": """"
}
"
FPT_University_HCMC,"7 Đ. D1, Long Thạnh Mỹ, Thủ Đức, Hồ Chí Minh 700000","https://www.google.com/maps/place/FPT+University+HCMC/@10.8411276,106.809883,17z/data=!4m6!3m5!1s0x31752731176b07b1:0xb752b24b379bae5e!8m2!3d10.8411276!4d106.809883!16s%2Fg%2F11j2zx_fz_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Partha Dasgupta,5.0,2024-04-06,"Nice place to visit if you are not a student also visit there,the atmosphere is too good","
{
    ""danh_sach_tu_tot"": ""Nice, good"",
    ""danh_sach_tu_xau"": null
}
"
FPT_University_HCMC,"7 Đ. D1, Long Thạnh Mỹ, Thủ Đức, Hồ Chí Minh 700000","https://www.google.com/maps/place/FPT+University+HCMC/@10.8411276,106.809883,17z/data=!4m6!3m5!1s0x31752731176b07b1:0xb752b24b379bae5e!8m2!3d10.8411276!4d106.809883!16s%2Fg%2F11j2zx_fz_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Anh Tuan Le Ho,1.0,2024-04-06,11 months > 8 month that you promise. They always says lie,"
{
    ""danh_sach_tu_tot"": null,
    ""danh_sach_tu_xau"": ""lie""
}
"
FPT_University_HCMC,"7 Đ. D1, Long Thạnh Mỹ, Thủ Đức, Hồ Chí Minh 700000","https://www.google.com/maps/place/FPT+University+HCMC/@10.8411276,106.809883,17z/data=!4m6!3m5!1s0x31752731176b07b1:0xb752b24b379bae5e!8m2!3d10.8411276!4d106.809883!16s%2Fg%2F11j2zx_fz_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Thu Nguyen,5.0,2025-04-06,Nice place. Lovely students,"
{
    ""danh_sach_tu_tot"": ""Nice, Lovely"",
    ""danh_sach_tu_xau"": """"
}
"
FPT_University_HCMC,"7 Đ. D1, Long Thạnh Mỹ, Thủ Đức, Hồ Chí Minh 700000","https://www.google.com/maps/place/FPT+University+HCMC/@10.8411276,106.809883,17z/data=!4m6!3m5!1s0x31752731176b07b1:0xb752b24b379bae5e!8m2!3d10.8411276!4d106.809883!16s%2Fg%2F11j2zx_fz_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",ngân đặng,5.0,2024-04-06,Super good you must try this now🚔🇬🇭🇫🇰🇧🇩🏣💤💤 …,"
{
    ""danh_sach_tu_tot"": ""Super good"",
    ""danh_sach_tu_xau"": null
}
"
FPT_University_HCMC,"7 Đ. D1, Long Thạnh Mỹ, Thủ Đức, Hồ Chí Minh 700000","https://www.google.com/maps/place/FPT+University+HCMC/@10.8411276,106.809883,17z/data=!4m6!3m5!1s0x31752731176b07b1:0xb752b24b379bae5e!8m2!3d10.8411276!4d106.809883!16s%2Fg%2F11j2zx_fz_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",One Cyberspace,4.0,2025-04-06,𝕄𝕒𝕚𝕟 𝕞𝕒𝕛𝕠𝕣𝕤 𝙎𝙤𝙛𝙩𝙬𝙖𝙧𝙚 𝙀𝙣𝙜𝙞𝙣𝙚𝙚𝙧𝙞𝙣𝙜 𝙄𝙣𝙛𝙤𝙧𝙢𝙖𝙩𝙞𝙤𝙣 𝘼𝙨𝙨𝙪𝙧𝙖𝙣𝙘𝙚 𝘽𝙪𝙨𝙞𝙣𝙚𝙨𝙨 𝘼𝙙𝙢𝙞𝙣𝙞𝙨𝙩𝙧𝙖𝙩𝙞𝙤𝙣 𝙁𝙞𝙣𝙖𝙣𝙘𝙚 - 𝘽𝙖𝙣𝙠𝙞𝙣𝙜 𝙄𝙣𝙩𝙚𝙧𝙣𝙖𝙩𝙞𝙤𝙣𝙖𝙡 𝘽𝙪𝙨𝙞𝙣𝙚𝙨𝙨 𝘼𝙙𝙢𝙞𝙣𝙞𝙨𝙩𝙧𝙖𝙩𝙞𝙤𝙣 𝙂𝙧𝙖𝙥𝙝𝙞𝙘 𝘿𝙚𝙨𝙞𝙜𝙣 𝙀𝙣𝙜𝙡𝙞𝙨𝙝 𝙅𝙖𝙥𝙖𝙣𝙚𝙨𝙚 𝘼𝙧𝙘𝙝𝙞𝙩𝙚𝙘𝙩𝙪𝙧𝙚 𝙈𝙖𝙩𝙝𝙚𝙢𝙖𝙩𝙞𝙘𝙨 𝙈𝙪𝙡𝙩𝙞𝙢𝙚𝙙𝙞𝙖 𝘾𝙤𝙢𝙢𝙪𝙣𝙞𝙘𝙖𝙩𝙞𝙤𝙣,"
{
    ""danh_sach_tu_tot"": ""Software Engineering, Information Assurance, Business Administration, Finance - Banking, International Business Administration, Graphic Design, English, Japanese, Architecture, Mathematics, Multimedia Communication"",
    ""danh_sach_tu_xau"": null
}
"
