places,address,link,user,star,creat_date,comment
Trung_Nguyên_Legend_(_Gò_Vấp),"257A4 Đ. Nguyễn Văn Lượng, Phường 10, Gò Vấp, Hồ Chí Minh 70000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+(+G%C3%B2+V%E1%BA%A5p)/@10.8384233,106.6678346,17z/data=!4m6!3m5!1s0x317529e1277e2f9d:0x29aad13686349c0a!8m2!3d10.8384233!4d106.6678346!16s%2Fg%2F11fnqvqdkt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Nikola Popovic,1.0,2024-12-01,"You can’t just label something ""espresso,"" charge 69k for a doppio, and serve it in a cold glass with no handle. The cup—whether glass or otherwise—was so cold that even the hot coffee couldn’t warm it, let alone stay hot. Either adjust the menu or serve the coffee properly."
Trung_Nguyên_Legend_(_Gò_Vấp),"257A4 Đ. Nguyễn Văn Lượng, Phường 10, Gò Vấp, Hồ Chí Minh 70000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+(+G%C3%B2+V%E1%BA%A5p)/@10.8384233,106.6678346,17z/data=!4m6!3m5!1s0x317529e1277e2f9d:0x29aad13686349c0a!8m2!3d10.8384233!4d106.6678346!16s%2Fg%2F11fnqvqdkt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Bien Nguyen Van,5.0,2025-04-01,"Pros: * The coffee is superb. * Employees are very friendly and super cute. * The place is not so crowded, perfect for reading and working.  Cons: * The reading room in second floor is also a smoking area, hmm... Not a good match.  Anyway, I like this place and usually visit in the weekend."
Trung_Nguyên_Legend_(_Gò_Vấp),"257A4 Đ. Nguyễn Văn Lượng, Phường 10, Gò Vấp, Hồ Chí Minh 70000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+(+G%C3%B2+V%E1%BA%A5p)/@10.8384233,106.6678346,17z/data=!4m6!3m5!1s0x317529e1277e2f9d:0x29aad13686349c0a!8m2!3d10.8384233!4d106.6678346!16s%2Fg%2F11fnqvqdkt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Hai Phan (Francis),4.0,2025-04-01,"Nice design coffee shop, good drink"
Trung_Nguyên_Legend_(_Gò_Vấp),"257A4 Đ. Nguyễn Văn Lượng, Phường 10, Gò Vấp, Hồ Chí Minh 70000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+(+G%C3%B2+V%E1%BA%A5p)/@10.8384233,106.6678346,17z/data=!4m6!3m5!1s0x317529e1277e2f9d:0x29aad13686349c0a!8m2!3d10.8384233!4d106.6678346!16s%2Fg%2F11fnqvqdkt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",David Carter (RichBossUK),4.0,2025-04-01,High price but it's worth the money. Coffee taste here is always better than other places.
Trung_Nguyên_Legend_(_Gò_Vấp),"257A4 Đ. Nguyễn Văn Lượng, Phường 10, Gò Vấp, Hồ Chí Minh 70000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+(+G%C3%B2+V%E1%BA%A5p)/@10.8384233,106.6678346,17z/data=!4m6!3m5!1s0x317529e1277e2f9d:0x29aad13686349c0a!8m2!3d10.8384233!4d106.6678346!16s%2Fg%2F11fnqvqdkt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Quý Nguyễn,5.0,2025-03-18,good
Trung_Nguyên_Legend_(_Gò_Vấp),"257A4 Đ. Nguyễn Văn Lượng, Phường 10, Gò Vấp, Hồ Chí Minh 70000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+(+G%C3%B2+V%E1%BA%A5p)/@10.8384233,106.6678346,17z/data=!4m6!3m5!1s0x317529e1277e2f9d:0x29aad13686349c0a!8m2!3d10.8384233!4d106.6678346!16s%2Fg%2F11fnqvqdkt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Ân Phạm,5.0,2025-03-18,I really love this place
Trung_Nguyên_Legend_(_Gò_Vấp),"257A4 Đ. Nguyễn Văn Lượng, Phường 10, Gò Vấp, Hồ Chí Minh 70000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+(+G%C3%B2+V%E1%BA%A5p)/@10.8384233,106.6678346,17z/data=!4m6!3m5!1s0x317529e1277e2f9d:0x29aad13686349c0a!8m2!3d10.8384233!4d106.6678346!16s%2Fg%2F11fnqvqdkt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",hiep dang,5.0,2024-08-01,Ok
Trung_Nguyên_Legend_(_Gò_Vấp),"257A4 Đ. Nguyễn Văn Lượng, Phường 10, Gò Vấp, Hồ Chí Minh 70000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+(+G%C3%B2+V%E1%BA%A5p)/@10.8384233,106.6678346,17z/data=!4m6!3m5!1s0x317529e1277e2f9d:0x29aad13686349c0a!8m2!3d10.8384233!4d106.6678346!16s%2Fg%2F11fnqvqdkt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Khanh Trần,5.0,2024-04-01,Perfect
Trung_Nguyên_Legend_(_Gò_Vấp),"257A4 Đ. Nguyễn Văn Lượng, Phường 10, Gò Vấp, Hồ Chí Minh 70000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+(+G%C3%B2+V%E1%BA%A5p)/@10.8384233,106.6678346,17z/data=!4m6!3m5!1s0x317529e1277e2f9d:0x29aad13686349c0a!8m2!3d10.8384233!4d106.6678346!16s%2Fg%2F11fnqvqdkt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Khoa Duy,5.0,2024-04-01,Ok
Trung_Nguyên_Legend_(_Gò_Vấp),"257A4 Đ. Nguyễn Văn Lượng, Phường 10, Gò Vấp, Hồ Chí Minh 70000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+(+G%C3%B2+V%E1%BA%A5p)/@10.8384233,106.6678346,17z/data=!4m6!3m5!1s0x317529e1277e2f9d:0x29aad13686349c0a!8m2!3d10.8384233!4d106.6678346!16s%2Fg%2F11fnqvqdkt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Thịnh Lê Phước,4.0,2025-04-01,Clean and peaceful
Trung_Nguyên_Legend_(_Gò_Vấp),"257A4 Đ. Nguyễn Văn Lượng, Phường 10, Gò Vấp, Hồ Chí Minh 70000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+(+G%C3%B2+V%E1%BA%A5p)/@10.8384233,106.6678346,17z/data=!4m6!3m5!1s0x317529e1277e2f9d:0x29aad13686349c0a!8m2!3d10.8384233!4d106.6678346!16s%2Fg%2F11fnqvqdkt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Dang Quang Huy,5.0,2025-04-01,elegant
Trung_Nguyên_Legend_(_Gò_Vấp),"257A4 Đ. Nguyễn Văn Lượng, Phường 10, Gò Vấp, Hồ Chí Minh 70000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+(+G%C3%B2+V%E1%BA%A5p)/@10.8384233,106.6678346,17z/data=!4m6!3m5!1s0x317529e1277e2f9d:0x29aad13686349c0a!8m2!3d10.8384233!4d106.6678346!16s%2Fg%2F11fnqvqdkt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Lê Đan Ta 003,5.0,2025-03-18,The restaurant is spacious and the staff is cheerful and enthusiastic Will recommend to friends
Trung_Nguyên_Legend_(_Gò_Vấp),"257A4 Đ. Nguyễn Văn Lượng, Phường 10, Gò Vấp, Hồ Chí Minh 70000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+(+G%C3%B2+V%E1%BA%A5p)/@10.8384233,106.6678346,17z/data=!4m6!3m5!1s0x317529e1277e2f9d:0x29aad13686349c0a!8m2!3d10.8384233!4d106.6678346!16s%2Fg%2F11fnqvqdkt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Tram Ngoc,5.0,2025-03-18,"The restaurant space is spacious, airy, decorated in a modern style but still brings a cozy feeling. The shop has many beautiful corners, suitable for taking photos or working. Regarding drinks, the coffee here is rich and delicious, the menu is quite diverse with many types of tea, juices and cakes included. The service staff is very friendly, agile and always ready to advise on suitable drinks. Reasonable price, commensurate with quality. In addition, the restaurant is located in an easy-to-find location, with convenient parking. Overall, this is an ideal place to relax, work or meet friends. I will definitely come back next time!"
Trung_Nguyên_Legend_(_Gò_Vấp),"257A4 Đ. Nguyễn Văn Lượng, Phường 10, Gò Vấp, Hồ Chí Minh 70000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+(+G%C3%B2+V%E1%BA%A5p)/@10.8384233,106.6678346,17z/data=!4m6!3m5!1s0x317529e1277e2f9d:0x29aad13686349c0a!8m2!3d10.8384233!4d106.6678346!16s%2Fg%2F11fnqvqdkt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Ha Tran,1.0,2024-12-01,"The service attitude is very poor, the mineral water order is out of stock, the small size milk coffee is out of stock, I have to buy the large size for 55k for very good service. Thanks for giving me a new definition of ""legend""!"
Trung_Nguyên_Legend_(_Gò_Vấp),"257A4 Đ. Nguyễn Văn Lượng, Phường 10, Gò Vấp, Hồ Chí Minh 70000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+(+G%C3%B2+V%E1%BA%A5p)/@10.8384233,106.6678346,17z/data=!4m6!3m5!1s0x317529e1277e2f9d:0x29aad13686349c0a!8m2!3d10.8384233!4d106.6678346!16s%2Fg%2F11fnqvqdkt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Bình Tô,5.0,2025-03-18,". The space is spacious and has a typical style of the brand, suitable for working or chatting with friends. The service staff is quite good, although sometimes it's a bit crowded so you have to wait a bit"
Trung_Nguyên_Legend_(_Gò_Vấp),"257A4 Đ. Nguyễn Văn Lượng, Phường 10, Gò Vấp, Hồ Chí Minh 70000","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+Legend+(+G%C3%B2+V%E1%BA%A5p)/@10.8384233,106.6678346,17z/data=!4m6!3m5!1s0x317529e1277e2f9d:0x29aad13686349c0a!8m2!3d10.8384233!4d106.6678346!16s%2Fg%2F11fnqvqdkt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Khanh Truong,5.0,2024-07-01,"The shop has plenty of sitting space to work or talk with friends, colleagues or customers.  Delicious cafe, good service, worth a visit."
