places,address,link,user,star,creat_date,comment
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Do Kien Trung,5.0,2025-04-01,"Lovely place for family at weekend. Nice and simple decoration. The up side down ice cream is Dairy Queen's significant product. The taste is good. It is not too sweat so the children can enjoy it. The menu has few of choices, therefore the customer just can choose among 6 - 8 options. The special one, mango cream with steamed glutinous rice, is usually out of order. The staff is nice and well-trained 👍👍👍"
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Michael Leander,4.0,2024-04-01,Decent mall. Good service at ground floor shops.  Great decor outside by entrance
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Phuong Linh,5.0,2025-04-01,"I even find this mall more interesting than vincom plaza. On 3rd floor there are timezone playground (small but new an super clean as all kids have to wear socks and wash hands before entering play areas), indoor trampoline park and cgv. My kids enjoyed here very much. The mall is not big but enough to shop around"
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Binh Tri Tran,5.0,2025-04-01,Very crowded especially at weekend. Good price. Located at city center.
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Hwang Yun,5.0,2025-04-01,If u need a break from the heat in Can Tho this is A good spot. There is also and all you can eat Korean BBQ for around $10usd on the top level. Good bang for your buck!!!
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Connie Lin,5.0,2025-04-01,Very delicious hot pot restaurant and staff there are so friendly. I can’t wait to visit again in the future.
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",D Sundance,5.0,2024-04-01,"Great mall with a selection of food places and cafes to choose from, a book/stationery store, clothes outlets, shoes, watches, electrical products, accessories, perfumes, and a large co op mart to get food and everyday essentials."
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Sebastian R,4.0,2025-04-01,Large shopping centre with food court. Shops range from supermarkets to coffee shops and book shops.
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Hoai Nam Le,4.0,2025-04-01,Parking service is not very convenient. Good variety of choise. Place for entertainment for families and friends
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Dennis Nguyen,4.0,2025-04-01,Good place to do some shopping..price are fix...dont have to trry to negotiate the price..good for travelers
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",The Green Dragon - Rồng Xanh,4.0,2025-04-01,"A really nice cinema with kind and friendly staff, the place was modern and clean with a vintage movie aesthetic, for the paintings on the wall on your way to the screens, the cinema screen overall was Good, and I liked how they have the Love box option at the top of the screen for couples, it was nice to sit with your partner, while you watched the film. Overall a great cinema to visit."
Sense_City_Can_Tho,,"https://www.google.com/maps/place/Sense+City+Can+Tho/@10.0342258,105.7859222,17z/data=!3m1!4b1!4m6!3m5!1s0x31a062a1bb1f86b1:0xfbe50d7e7b046724!8m2!3d10.0342258!4d105.7859222!16s%2Fg%2F1pw3x_6bd?entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Mark Wilber (LoudMusic),5.0,2025-04-01,This is the main shopping mall in town. They have a food court upstairs and a nice movie theater on the top floor. You can also find Western style pizza restaurants and other things from Western cuisine on the food court floor. Also there's a kids area up stairs where they can play in a ball pit and rent kids activities.
