places,address,link,user,star,creat_date,comment,data_llm
Làng_Du_Lịch_Sinh_Thái_Ông_Đề,"303 Ấp Mỹ Lộc, Mỹ Khánh, Phong Điền, Cần Thơ","https://www.google.com/maps/place/L%C3%A0ng+Du+L%E1%BB%8Bch+Sinh+Th%C3%A1i+%C3%94ng+%C4%90%E1%BB%81/@9.992319,105.7075316,17z/data=!4m6!3m5!1s0x31a0899e26674a1f:0x549000aa429b5896!8m2!3d9.992319!4d105.7075316!16s%2Fg%2F11h_425425?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Thaycacac,5.0,2025-04-07,This is beautiful place. You should go to there if you travel at Can Tho,
Làng_Du_Lịch_Sinh_Thái_Ông_Đề,"303 Ấp Mỹ Lộc, Mỹ Khánh, Phong Điền, Cần Thơ","https://www.google.com/maps/place/L%C3%A0ng+Du+L%E1%BB%8Bch+Sinh+Th%C3%A1i+%C3%94ng+%C4%90%E1%BB%81/@9.992319,105.7075316,17z/data=!4m6!3m5!1s0x31a0899e26674a1f:0x549000aa429b5896!8m2!3d9.992319!4d105.7075316!16s%2Fg%2F11h_425425?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",王俊榮,4.0,2024-04-07,The service is friendly and the food is delicious. The waiter rides a motorcycle and holds a tray to deliver the food.,
Làng_Du_Lịch_Sinh_Thái_Ông_Đề,"303 Ấp Mỹ Lộc, Mỹ Khánh, Phong Điền, Cần Thơ","https://www.google.com/maps/place/L%C3%A0ng+Du+L%E1%BB%8Bch+Sinh+Th%C3%A1i+%C3%94ng+%C4%90%E1%BB%81/@9.992319,105.7075316,17z/data=!4m6!3m5!1s0x31a0899e26674a1f:0x549000aa429b5896!8m2!3d9.992319!4d105.7075316!16s%2Fg%2F11h_425425?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",VN Vũ Trọc,5.0,2025-04-07,"Good food, good price. There are especially fun underwater folk games. When I was about to leave, I discovered there was a film studio here with many beautiful scenes. Take virtual photos and post them for a whole year",
Làng_Du_Lịch_Sinh_Thái_Ông_Đề,"303 Ấp Mỹ Lộc, Mỹ Khánh, Phong Điền, Cần Thơ","https://www.google.com/maps/place/L%C3%A0ng+Du+L%E1%BB%8Bch+Sinh+Th%C3%A1i+%C3%94ng+%C4%90%E1%BB%81/@9.992319,105.7075316,17z/data=!4m6!3m5!1s0x31a0899e26674a1f:0x549000aa429b5896!8m2!3d9.992319!4d105.7075316!16s%2Fg%2F11h_425425?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",HỒ CAO THẮNG,5.0,2024-04-07,"The resort is very fun, there are beautiful landscapes for taking photos, enthusiastic staff, delicious food, will come back many times, especially the homestay is very beautiful and the 2ng1 VND program is very good",
Làng_Du_Lịch_Sinh_Thái_Ông_Đề,"303 Ấp Mỹ Lộc, Mỹ Khánh, Phong Điền, Cần Thơ","https://www.google.com/maps/place/L%C3%A0ng+Du+L%E1%BB%8Bch+Sinh+Th%C3%A1i+%C3%94ng+%C4%90%E1%BB%81/@9.992319,105.7075316,17z/data=!4m6!3m5!1s0x31a0899e26674a1f:0x549000aa429b5896!8m2!3d9.992319!4d105.7075316!16s%2Fg%2F11h_425425?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Tường Vi,5.0,2024-08-07,"I went on Saturday, there were quite a few customers but the support staff were also very enthusiastic, the game competing with other groups was also very fun, the MC was funny, there was also loto singing, delicious food, especially banh xeo, there was also Many small landscapes to take photos, the homestay is airy and clean, it's fun to go with friends and form a team",
Làng_Du_Lịch_Sinh_Thái_Ông_Đề,"303 Ấp Mỹ Lộc, Mỹ Khánh, Phong Điền, Cần Thơ","https://www.google.com/maps/place/L%C3%A0ng+Du+L%E1%BB%8Bch+Sinh+Th%C3%A1i+%C3%94ng+%C4%90%E1%BB%81/@9.992319,105.7075316,17z/data=!4m6!3m5!1s0x31a0899e26674a1f:0x549000aa429b5896!8m2!3d9.992319!4d105.7075316!16s%2Fg%2F11h_425425?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Hậu Dương,5.0,2025-04-07,Have fun and have fun at an affordable price,
Làng_Du_Lịch_Sinh_Thái_Ông_Đề,"303 Ấp Mỹ Lộc, Mỹ Khánh, Phong Điền, Cần Thơ","https://www.google.com/maps/place/L%C3%A0ng+Du+L%E1%BB%8Bch+Sinh+Th%C3%A1i+%C3%94ng+%C4%90%E1%BB%81/@9.992319,105.7075316,17z/data=!4m6!3m5!1s0x31a0899e26674a1f:0x549000aa429b5896!8m2!3d9.992319!4d105.7075316!16s%2Fg%2F11h_425425?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Vân Anh Vũ,1.0,2024-04-07,"My family had a really bad experience here. The space doesn't have anything beautiful, just some really boring games. The food is expensive and not worth the price. Staff has very bad service attitude!!! I have never gone to eat anywhere without paper towels like here. When I asked the staff here if they had hand towels, they said no. If you want to wipe your hands, you have to buy cold towels!!!! Will never return to this place.",
Làng_Du_Lịch_Sinh_Thái_Ông_Đề,"303 Ấp Mỹ Lộc, Mỹ Khánh, Phong Điền, Cần Thơ","https://www.google.com/maps/place/L%C3%A0ng+Du+L%E1%BB%8Bch+Sinh+Th%C3%A1i+%C3%94ng+%C4%90%E1%BB%81/@9.992319,105.7075316,17z/data=!4m6!3m5!1s0x31a0899e26674a1f:0x549000aa429b5896!8m2!3d9.992319!4d105.7075316!16s%2Fg%2F11h_425425?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",le cuong,4.0,2024-04-07,It's okay. But buying an entrance ticket and having to buy a pool ticket is not very pleasant.,
Làng_Du_Lịch_Sinh_Thái_Ông_Đề,"303 Ấp Mỹ Lộc, Mỹ Khánh, Phong Điền, Cần Thơ","https://www.google.com/maps/place/L%C3%A0ng+Du+L%E1%BB%8Bch+Sinh+Th%C3%A1i+%C3%94ng+%C4%90%E1%BB%81/@9.992319,105.7075316,17z/data=!4m6!3m5!1s0x31a0899e26674a1f:0x549000aa429b5896!8m2!3d9.992319!4d105.7075316!16s%2Fg%2F11h_425425?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Mỹ Duyên,1.0,2025-04-07,"The staff's service and the food are very good. But the MC named Hoang Phat was really speechless. Everyone in the world has the right to idolize someone they like. But when this MC found out that our group was coming on November 20, what kind of defamatory words did he say about our idol? After this episode, I lost a lot of sympathy for the MC in particular and the Eco Village in general. I hope that MC's superiors will take action to remind us and apologize to us. Thank you!",

