places,address,link,user,star,creat_date,comment
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8002065,106.6656817,17z/data=!4m6!3m5!1s0x3175292fc15d7b77:0x4e12349cd3069eed!8m2!3d10.8002065!4d106.6656817!16s%2Fg%2F1pp2tl4hh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Niick Ruzzo,4.0,2025-04-01,The food beef noodle tasty and hot. The service had to wait some time because two floors no one working the station up stairs. Atmosphere is good for a date or a few business people to meet. But at times kind of loud. Voices bounce off the walls so at times have to raise your voice to speak
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8002065,106.6656817,17z/data=!4m6!3m5!1s0x3175292fc15d7b77:0x4e12349cd3069eed!8m2!3d10.8002065!4d106.6656817!16s%2Fg%2F1pp2tl4hh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Nattapob Pornplanamai,5.0,2024-10-01,Very good taste and view 😍 I like it so much recommend coconut coffee
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8002065,106.6656817,17z/data=!4m6!3m5!1s0x3175292fc15d7b77:0x4e12349cd3069eed!8m2!3d10.8002065!4d106.6656817!16s%2Fg%2F1pp2tl4hh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Manny Sergentakis,5.0,2024-04-01,Great coffee with a view of a busy street and a park.  I tried the egg coffee and a yogurt with dried fruit.
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8002065,106.6656817,17z/data=!4m6!3m5!1s0x3175292fc15d7b77:0x4e12349cd3069eed!8m2!3d10.8002065!4d106.6656817!16s%2Fg%2F1pp2tl4hh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Tâm Ngân,4.0,2024-04-01,"Nice view and quiet environment. It is a best place for sunday morning coffee, nice place"
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8002065,106.6656817,17z/data=!4m6!3m5!1s0x3175292fc15d7b77:0x4e12349cd3069eed!8m2!3d10.8002065!4d106.6656817!16s%2Fg%2F1pp2tl4hh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Bryan Ho,4.0,2025-04-01,Trung Nguyen is famous for coffee and there is no comment about this place anymore. Coffee is excellent
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8002065,106.6656817,17z/data=!4m6!3m5!1s0x3175292fc15d7b77:0x4e12349cd3069eed!8m2!3d10.8002065!4d106.6656817!16s%2Fg%2F1pp2tl4hh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Pallas Cat,5.0,2025-04-01,"Attend monthly meetups in the cafe, friendly and professional staff and nice coffee"
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8002065,106.6656817,17z/data=!4m6!3m5!1s0x3175292fc15d7b77:0x4e12349cd3069eed!8m2!3d10.8002065!4d106.6656817!16s%2Fg%2F1pp2tl4hh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",John Murphy,5.0,2024-04-01,"I'm a lover of Vietnamese coffee and this Trung Nguyen makes one of the best coffees. They also serve breakfast and lunch with a small selection of dishes. I've tried their ""cơm tấm"" (broken rice) and found it delicious. The space is also suitable for working for long hours."
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8002065,106.6656817,17z/data=!4m6!3m5!1s0x3175292fc15d7b77:0x4e12349cd3069eed!8m2!3d10.8002065!4d106.6656817!16s%2Fg%2F1pp2tl4hh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Luong Cuong,3.0,2025-04-01,The taste of coffee doesn't true and fit with other TrungNguyen legend.
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8002065,106.6656817,17z/data=!4m6!3m5!1s0x3175292fc15d7b77:0x4e12349cd3069eed!8m2!3d10.8002065!4d106.6656817!16s%2Fg%2F1pp2tl4hh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",Tuan Nguyen,3.0,2025-04-01,"Good Vietnamese coffee, quite pricey!"
Trung_Nguyen_Coffee,,"https://www.google.com/maps/place/Trung+Nguyen+Coffee/@10.8002065,106.6656817,17z/data=!4m6!3m5!1s0x3175292fc15d7b77:0x4e12349cd3069eed!8m2!3d10.8002065!4d106.6656817!16s%2Fg%2F1pp2tl4hh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",hoang yen,5.0,2025-04-01,"The Coffee with egg tastes enough the rich combine with the coffee...it's wonderful. The cream by beating egg have a pleasant taste characteristic of honey, but not too much sweet. Let's enjoy a cup of coffee with egg serviced by friendly."
