places,address,link,user,star,creat_date,comment
Vincom_Plaza,"2 Hùng Vương, Thới Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Vincom+Plaza/@10.0452944,105.7796049,17z/data=!4m6!3m5!1s0x31a08802e47b3083:0x5b6e5a03285c9576!8m2!3d10.0452944!4d105.7796049!16s%2Fg%2F11bw2hwywq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Anna Bortsova,5.0,2025-01-01,"This place has WiFi and Aircon. On the top floor they have a few good local restaurants that are worth having dinner at. There are stores eg Aldo, H&M. They have a coffee shop on the ground floor and a roller disco higher up."
Vincom_Plaza,"2 Hùng Vương, Thới Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Vincom+Plaza/@10.0452944,105.7796049,17z/data=!4m6!3m5!1s0x31a08802e47b3083:0x5b6e5a03285c9576!8m2!3d10.0452944!4d105.7796049!16s%2Fg%2F11bw2hwywq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Thuan Le,5.0,2025-04-01,Great place to hang out with friends! It is in the central location!
Vincom_Plaza,"2 Hùng Vương, Thới Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Vincom+Plaza/@10.0452944,105.7796049,17z/data=!4m6!3m5!1s0x31a08802e47b3083:0x5b6e5a03285c9576!8m2!3d10.0452944!4d105.7796049!16s%2Fg%2F11bw2hwywq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Vinh Francis Guyait,5.0,2025-04-01,Nice mall with lot of cafes and shops
Vincom_Plaza,"2 Hùng Vương, Thới Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Vincom+Plaza/@10.0452944,105.7796049,17z/data=!4m6!3m5!1s0x31a08802e47b3083:0x5b6e5a03285c9576!8m2!3d10.0452944!4d105.7796049!16s%2Fg%2F11bw2hwywq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",khai pham-huy,4.0,2025-04-01,"Clean, not so crowded shopping mall, yet there are enough brands for your simple shopping.. Supermarket with all kinds of food and coffee shops at ground floor for appointments with friends and even cinema on top... simple  but full activities for daily needs"
Vincom_Plaza,"2 Hùng Vương, Thới Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Vincom+Plaza/@10.0452944,105.7796049,17z/data=!4m6!3m5!1s0x31a08802e47b3083:0x5b6e5a03285c9576!8m2!3d10.0452944!4d105.7796049!16s%2Fg%2F11bw2hwywq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",ManNie TT,4.0,2025-04-01,"A nice place for hanging out with friends and family. You can find many things here. There are lots of options to shop, eat or drink. I very recommend this place cause it's closer"
Vincom_Plaza,"2 Hùng Vương, Thới Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Vincom+Plaza/@10.0452944,105.7796049,17z/data=!4m6!3m5!1s0x31a08802e47b3083:0x5b6e5a03285c9576!8m2!3d10.0452944!4d105.7796049!16s%2Fg%2F11bw2hwywq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Phuc Thao Nguyen,5.0,2025-04-01,Great place for people especially foreigners to visit and to have shopping include F&B services. Can park in the basements of the building.
Vincom_Plaza,"2 Hùng Vương, Thới Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Vincom+Plaza/@10.0452944,105.7796049,17z/data=!4m6!3m5!1s0x31a08802e47b3083:0x5b6e5a03285c9576!8m2!3d10.0452944!4d105.7796049!16s%2Fg%2F11bw2hwywq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Eric Dương,5.0,2025-04-01,Good place to relax and dinning
Vincom_Plaza,"2 Hùng Vương, Thới Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Vincom+Plaza/@10.0452944,105.7796049,17z/data=!4m6!3m5!1s0x31a08802e47b3083:0x5b6e5a03285c9576!8m2!3d10.0452944!4d105.7796049!16s%2Fg%2F11bw2hwywq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Alberto Ng,4.0,2025-04-01,- Good: Luxurious; not too different with the District 1 Vincom Plaza in Saigon; good for kids; have many restaurants with outlets in here; it's location is easy to see; they also have the big parking lot and clean restroom. - Bad: Quite expensive.
Vincom_Plaza,"2 Hùng Vương, Thới Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Vincom+Plaza/@10.0452944,105.7796049,17z/data=!4m6!3m5!1s0x31a08802e47b3083:0x5b6e5a03285c9576!8m2!3d10.0452944!4d105.7796049!16s%2Fg%2F11bw2hwywq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Erica Bailey,3.0,2024-04-01,Old Plaza suffering from empty shops no doubt due to COVID. May not survive.
Vincom_Plaza,"2 Hùng Vương, Thới Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Vincom+Plaza/@10.0452944,105.7796049,17z/data=!4m6!3m5!1s0x31a08802e47b3083:0x5b6e5a03285c9576!8m2!3d10.0452944!4d105.7796049!16s%2Fg%2F11bw2hwywq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Phan Hà Tuấn Kiệt,5.0,2025-04-01,Ok
