places,address,link,user,star,creat_date,comment
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Hiếu Huỳnh,1.0,2025-04-01,"I'm really disappointed. At first, staff said  only 349.000VND per ticket available, it's okay but actually many kinds of food on freeline has gone and when I ordered  food nothing came out. Everything I could eat is on 279.000VND ticket! Finally I had to wait over 30 minutes when I ordered a hotpot. Bad experience that I have ever had !"
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Nhi Bui,4.0,2025-04-01,Good food in the buffet selection. Not so nice staff tho
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Michael Ingram,2.0,2024-04-01,"I made the mistake of walking past when I was starving. I got sucked in by the allure of the word buffet, not realising it was a cook-it-yourself barbecue. The staff tried valiantly to explain how it works, but there was a massive language barrier. That’s not their fault. Suffice it to say, I think even if we could communicate clearly, nothing would have helped the fact that food is appallingly bad. I’ve never seen such a poor selection of meat off-cuts being palmed off as delicious, fine-quality food. Try eating a small, tough, bony lamb cutlet with chopsticks. Awful. The salads were dire as well. Don’t waste your time or money."
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Bogdan Beju,1.0,2024-07-01,"A bad take on the already terrible 'grill on your table' concept. The meat is mediocre, the waiter kept going away - not that he knew what he was doing - then coming back to screw up what we were doing."
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Tuyền Thanh,5.0,2024-04-01,"Nice decor, have a line for you to choose which vegetables you want"
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Lam Lê Trần Nguyên,2.0,2025-04-01,"Although the food and the sauce are above average (if not to say, quite better than other places locally), the staffs ruined my experience here. Two of them made ""obvious judging eye contacts"" towards my decision of dining with lowest prices. Few had fake and unfriendly smiles.  Your mileages may very. But for me, 90% I won't come here again."
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Bill Smale,3.0,2025-04-01,"Food was ok but not more than that. The meat had tendons and too much fat, low quality. Maybe the other food was a little better than some buffet. The music was way too loud."
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Anh Tran,5.0,2025-04-01,Great restaurant. We met front supervisor named Viet. He is very professional and provide  great services. Highly recommend.
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Gábor Bary,2.0,2025-04-01,"Confusing, no clear guidance how it works. Food itself is not bad, but good luck figuring out the bundles with the limited English on the menu"
Can_Tho_Grill_&_Cheer,"Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/Can+Tho+Grill+%26+Cheer/@10.0246682,105.7750127,17z/data=!4m6!3m5!1s0x31a08825ca7019a1:0x3411a6b5702af4e5!8m2!3d10.0246682!4d105.7750127!16s%2Fg%2F11dxdzmx15?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Toan Thai Tran,5.0,2024-12-01,Nice
