places,address,link,user,star,creat_date,comment
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Johnson Tiêu,5.0,2025-04-01,"Cozy place with a very wide range of movie choice. Service is always at it best, especially their GoldClass cinema. A bit pricey, but totally worth it. Their popcorn choice are salty, sweet, cheese, and caramel are absolutely awesome."
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Deborah Cornland,4.0,2024-08-01,You can have a lot of fun here. Forget the rain!
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",D O,1.0,2025-04-01,"The people in the audience keep talking over the movie, using mobile phones, disrupting the show. And I'm talking adults, not little kids.  Some big wall-mounted lights don't actually get turned off through the show, also.  The staff is not really courteous, they won't let you walk to you theatre/seat until the advertised showtime (not even 5' before, they make you wait in the lobby, with nothing to do) only to make you sit through 20 minutes of dumb commercials.  Dirty, grimy, minging and rickety seats are just the frosting on the cake, to top it all off."
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Ko Koo,5.0,2025-02-01,Clean. Same as Korea cgv. Nice
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Kien Huynh Trung,5.0,2025-04-01,"Beautiful and good place in Can Tho City. It há supermarket, luxury shop, fashion shop in Vincom. Beside it has Hotel and restaurant with Vinpearl branch. Especial, there are small nice park and shophouse system."
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Minh Le,3.0,2025-04-01,Relatively much more nicer cinema but abit more expensive then lotte mart cinema.  Some people need to be quiet and get off their phones.
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Sebastian Raj,5.0,2025-03-18,A nice place
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Sujita Balami,4.0,2025-04-01,The prices of good are relativey expensive. Mwatching movie with a popcorn is a good combination but it its really expensive it's hard to afford.
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Duny Nguyễn,5.0,2025-01-01,Perfect
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Hoà Du lịch đó đây,5.0,2024-12-01,Good
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Thanh Thúy Vy Lê,5.0,2025-04-01,Good
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Ngo quang vinh,1.0,2025-04-01,I rated 1 star because CGV Xuan Khanh service is so bad
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",LÊ MINH ĐƯƠNG,5.0,2024-09-01,Ok
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Le Ngoc Thanh,5.0,2025-04-01,Good
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Cường Lê,5.0,2025-04-01,Good
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",CÔNG TY NGON-BỔ-RẺ,4.0,2024-04-01,Ok
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Khải Nhân Trương,5.0,2024-07-01,🥰🥰🥰🥰🥰Good evening. …
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Hải Triều “Tide” Trần,5.0,2025-04-01,Gorgeous
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",luu hien,5.0,2025-04-01,Good
CGV_Vincom_Xuân_Khánh,"Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","https://www.google.com/maps/place/CGV+Vincom+Xu%C3%A2n+Kh%C3%A1nh/@10.0248546,105.7748027,17z/data=!3m1!4b1!4m6!3m5!1s0x31a08825cac18fad:0xf069d6c6dcc6cf98!8m2!3d10.0248546!4d105.7748027!16s%2Fg%2F11cs0qw101?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Yen,4.0,2025-04-01,It's nice
