places,address,link,user,star,creat_date,comment,data_llm
Làng_du_lịch_Mỹ_Khánh_-_Cổng_3,"335 Đ. Nguyễn Văn Cừ, Mỹ Khánh, Phong Điền, Cần Thơ 94807","https://www.google.com/maps/place/L%C3%A0ng+du+l%E1%BB%8Bch+M%E1%BB%B9+Kh%C3%A1nh+-+C%E1%BB%95ng+3/@9.9907285,105.7042473,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0895771f6d223:0x1fb65103f41fb7c5!8m2!3d9.9907285!4d105.7042473!16s%2Fg%2F11tp4_dyh4?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Lucy Johnston,1.0,2024-04-07,"No stars, this place is awful. Dogs and pigs are “raced” for a tourist attraction, the animals are kept in small enclosures and are clearly depressed. Do not go here.","
{
    ""danh_sach_tu_tot"": null,
    ""danh_sach_tu_xau"": ""awful, depressed""
}
"
Làng_du_lịch_Mỹ_Khánh_-_Cổng_3,"335 Đ. Nguyễn Văn Cừ, Mỹ Khánh, Phong Điền, Cần Thơ 94807","https://www.google.com/maps/place/L%C3%A0ng+du+l%E1%BB%8Bch+M%E1%BB%B9+Kh%C3%A1nh+-+C%E1%BB%95ng+3/@9.9907285,105.7042473,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0895771f6d223:0x1fb65103f41fb7c5!8m2!3d9.9907285!4d105.7042473!16s%2Fg%2F11tp4_dyh4?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",MunichPatsFan,1.0,2025-04-07,"Not interesting for western Tourists. Avoid if possible. The „Traditional Village“ is entierly artificial. Plastic giraffes roadside, even bird songs from tape","
{
    ""danh_sach_tu_tot"": null,
    ""danh_sach_tu_xau"": ""Not interesting, Avoid, artificial""
}
"
Làng_du_lịch_Mỹ_Khánh_-_Cổng_3,"335 Đ. Nguyễn Văn Cừ, Mỹ Khánh, Phong Điền, Cần Thơ 94807","https://www.google.com/maps/place/L%C3%A0ng+du+l%E1%BB%8Bch+M%E1%BB%B9+Kh%C3%A1nh+-+C%E1%BB%95ng+3/@9.9907285,105.7042473,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0895771f6d223:0x1fb65103f41fb7c5!8m2!3d9.9907285!4d105.7042473!16s%2Fg%2F11tp4_dyh4?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Sorn Phannet,5.0,2024-10-07,Nice view 120 in person,"
{
    ""danh_sach_tu_tot"": ""Nice"",
    ""danh_sach_tu_xau"": """"
}
"
Làng_du_lịch_Mỹ_Khánh_-_Cổng_3,"335 Đ. Nguyễn Văn Cừ, Mỹ Khánh, Phong Điền, Cần Thơ 94807","https://www.google.com/maps/place/L%C3%A0ng+du+l%E1%BB%8Bch+M%E1%BB%B9+Kh%C3%A1nh+-+C%E1%BB%95ng+3/@9.9907285,105.7042473,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0895771f6d223:0x1fb65103f41fb7c5!8m2!3d9.9907285!4d105.7042473!16s%2Fg%2F11tp4_dyh4?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Minh Toàn Nguyễn,5.0,2024-04-07,so happy,"
{
    ""danh_sach_tu_tot"": ""happy"",
    ""danh_sach_tu_xau"": """"
}
"
Làng_du_lịch_Mỹ_Khánh_-_Cổng_3,"335 Đ. Nguyễn Văn Cừ, Mỹ Khánh, Phong Điền, Cần Thơ 94807","https://www.google.com/maps/place/L%C3%A0ng+du+l%E1%BB%8Bch+M%E1%BB%B9+Kh%C3%A1nh+-+C%E1%BB%95ng+3/@9.9907285,105.7042473,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0895771f6d223:0x1fb65103f41fb7c5!8m2!3d9.9907285!4d105.7042473!16s%2Fg%2F11tp4_dyh4?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Bích Ngọc Lê,4.0,2024-04-07,Ok,"
{
    ""danh_sach_tu_tot"": ""Ok"",
    ""danh_sach_tu_xau"": """"
}
"
Làng_du_lịch_Mỹ_Khánh_-_Cổng_3,"335 Đ. Nguyễn Văn Cừ, Mỹ Khánh, Phong Điền, Cần Thơ 94807","https://www.google.com/maps/place/L%C3%A0ng+du+l%E1%BB%8Bch+M%E1%BB%B9+Kh%C3%A1nh+-+C%E1%BB%95ng+3/@9.9907285,105.7042473,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0895771f6d223:0x1fb65103f41fb7c5!8m2!3d9.9907285!4d105.7042473!16s%2Fg%2F11tp4_dyh4?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Trần Thị Nguyệt Mi,5.0,2024-10-07,Ok,"
{
    ""danh_sach_tu_tot"": ""Ok"",
    ""danh_sach_tu_xau"": null
}
"
Làng_du_lịch_Mỹ_Khánh_-_Cổng_3,"335 Đ. Nguyễn Văn Cừ, Mỹ Khánh, Phong Điền, Cần Thơ 94807","https://www.google.com/maps/place/L%C3%A0ng+du+l%E1%BB%8Bch+M%E1%BB%B9+Kh%C3%A1nh+-+C%E1%BB%95ng+3/@9.9907285,105.7042473,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0895771f6d223:0x1fb65103f41fb7c5!8m2!3d9.9907285!4d105.7042473!16s%2Fg%2F11tp4_dyh4?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Reginald Knight,4.0,2024-04-07,ok,"
{
""danh_sach_tu_tot"": ""ok"",
""danh_sach_tu_xau"": """"
}
"
Làng_du_lịch_Mỹ_Khánh_-_Cổng_3,"335 Đ. Nguyễn Văn Cừ, Mỹ Khánh, Phong Điền, Cần Thơ 94807","https://www.google.com/maps/place/L%C3%A0ng+du+l%E1%BB%8Bch+M%E1%BB%B9+Kh%C3%A1nh+-+C%E1%BB%95ng+3/@9.9907285,105.7042473,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0895771f6d223:0x1fb65103f41fb7c5!8m2!3d9.9907285!4d105.7042473!16s%2Fg%2F11tp4_dyh4?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Leroy Byrd,4.0,2024-04-07,Ok,"
{
    ""danh_sach_tu_tot"": ""Ok"",
    ""danh_sach_tu_xau"": null
}
"
Làng_du_lịch_Mỹ_Khánh_-_Cổng_3,"335 Đ. Nguyễn Văn Cừ, Mỹ Khánh, Phong Điền, Cần Thơ 94807","https://www.google.com/maps/place/L%C3%A0ng+du+l%E1%BB%8Bch+M%E1%BB%B9+Kh%C3%A1nh+-+C%E1%BB%95ng+3/@9.9907285,105.7042473,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0895771f6d223:0x1fb65103f41fb7c5!8m2!3d9.9907285!4d105.7042473!16s%2Fg%2F11tp4_dyh4?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",039-Mai Thuỳ Thanh Trúc,5.0,2024-04-07,Good,"
{
    ""danh_sach_tu_tot"": ""Good"",
    ""danh_sach_tu_xau"": """"
}
"
Làng_du_lịch_Mỹ_Khánh_-_Cổng_3,"335 Đ. Nguyễn Văn Cừ, Mỹ Khánh, Phong Điền, Cần Thơ 94807","https://www.google.com/maps/place/L%C3%A0ng+du+l%E1%BB%8Bch+M%E1%BB%B9+Kh%C3%A1nh+-+C%E1%BB%95ng+3/@9.9907285,105.7042473,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0895771f6d223:0x1fb65103f41fb7c5!8m2!3d9.9907285!4d105.7042473!16s%2Fg%2F11tp4_dyh4?entry=ttu&g_ep=EgoyMDI1MDQwMi4xIKXMDSoASAFQAw%3D%3D",Jena,5.0,2024-04-07,Ok,"
{
    ""danh_sach_tu_tot"": ""Ok"",
    ""danh_sach_tu_xau"": """"
}
"
