places,address,link,user,star,creat_date,comment
Trung_Nguyên_E-Coffee,"17-18 Cao Minh Lộc, Phú Thứ, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@10.0026007,105.8017355,17z/data=!4m6!3m5!1s0x31a06267ba2a4b9f:0xc8203054001fc80d!8m2!3d10.0026007!4d105.8017355!16s%2Fg%2F1tjgm2kq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Phil Langdon,4.0,2025-04-01,This place changed its name about mid 2020.    Many of the earlier comments  are not relevant.  Trung Nguyen coffee as usual is very expensive.   Nice cool coffee shop on the corner.  Good coffee
Trung_Nguyên_E-Coffee,"17-18 Cao Minh Lộc, Phú Thứ, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@10.0026007,105.8017355,17z/data=!4m6!3m5!1s0x31a06267ba2a4b9f:0xc8203054001fc80d!8m2!3d10.0026007!4d105.8017355!16s%2Fg%2F1tjgm2kq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Donald Nguyen,4.0,2025-04-01,"Comfortable relaxed space. Coffee comparatively expensive, but good. Hv proper cappuccino. Only has food in the morning, but is quite good for breakfast. Overall  prefer Cafe Góc Phố."
Trung_Nguyên_E-Coffee,"17-18 Cao Minh Lộc, Phú Thứ, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@10.0026007,105.8017355,17z/data=!4m6!3m5!1s0x31a06267ba2a4b9f:0xc8203054001fc80d!8m2!3d10.0026007!4d105.8017355!16s%2Fg%2F1tjgm2kq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Illusion “Illusion”,5.0,2025-04-01,Fantastic atmosphere! This is a special place for you to rest after a long-driving journey!
Trung_Nguyên_E-Coffee,"17-18 Cao Minh Lộc, Phú Thứ, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@10.0026007,105.8017355,17z/data=!4m6!3m5!1s0x31a06267ba2a4b9f:0xc8203054001fc80d!8m2!3d10.0026007!4d105.8017355!16s%2Fg%2F1tjgm2kq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Pháp An,5.0,2024-11-01,Good place
Trung_Nguyên_E-Coffee,"17-18 Cao Minh Lộc, Phú Thứ, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@10.0026007,105.8017355,17z/data=!4m6!3m5!1s0x31a06267ba2a4b9f:0xc8203054001fc80d!8m2!3d10.0026007!4d105.8017355!16s%2Fg%2F1tjgm2kq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Anji Feldspar,5.0,2025-04-01,Good view
Trung_Nguyên_E-Coffee,"17-18 Cao Minh Lộc, Phú Thứ, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@10.0026007,105.8017355,17z/data=!4m6!3m5!1s0x31a06267ba2a4b9f:0xc8203054001fc80d!8m2!3d10.0026007!4d105.8017355!16s%2Fg%2F1tjgm2kq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Vinh Tran,4.0,2025-04-01,good cafe
Trung_Nguyên_E-Coffee,"17-18 Cao Minh Lộc, Phú Thứ, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@10.0026007,105.8017355,17z/data=!4m6!3m5!1s0x31a06267ba2a4b9f:0xc8203054001fc80d!8m2!3d10.0026007!4d105.8017355!16s%2Fg%2F1tjgm2kq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Nhân Nguyễn,4.0,2025-04-01,Ok
Trung_Nguyên_E-Coffee,"17-18 Cao Minh Lộc, Phú Thứ, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@10.0026007,105.8017355,17z/data=!4m6!3m5!1s0x31a06267ba2a4b9f:0xc8203054001fc80d!8m2!3d10.0026007!4d105.8017355!16s%2Fg%2F1tjgm2kq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Thúy Duy Lê,5.0,2025-04-01,Good
Trung_Nguyên_E-Coffee,"17-18 Cao Minh Lộc, Phú Thứ, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@10.0026007,105.8017355,17z/data=!4m6!3m5!1s0x31a06267ba2a4b9f:0xc8203054001fc80d!8m2!3d10.0026007!4d105.8017355!16s%2Fg%2F1tjgm2kq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Do Van Vu,4.0,2025-04-01,Ok
Trung_Nguyên_E-Coffee,"17-18 Cao Minh Lộc, Phú Thứ, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@10.0026007,105.8017355,17z/data=!4m6!3m5!1s0x31a06267ba2a4b9f:0xc8203054001fc80d!8m2!3d10.0026007!4d105.8017355!16s%2Fg%2F1tjgm2kq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Huynh Phong,2.0,2025-04-01,Ok
Trung_Nguyên_E-Coffee,"17-18 Cao Minh Lộc, Phú Thứ, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@10.0026007,105.8017355,17z/data=!4m6!3m5!1s0x31a06267ba2a4b9f:0xc8203054001fc80d!8m2!3d10.0026007!4d105.8017355!16s%2Fg%2F1tjgm2kq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Đoàn Hoàng Khang,5.0,2025-04-01,ok
Trung_Nguyên_E-Coffee,"17-18 Cao Minh Lộc, Phú Thứ, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@10.0026007,105.8017355,17z/data=!4m6!3m5!1s0x31a06267ba2a4b9f:0xc8203054001fc80d!8m2!3d10.0026007!4d105.8017355!16s%2Fg%2F1tjgm2kq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",dung bui,3.0,2025-04-01,Ok
Trung_Nguyên_E-Coffee,"17-18 Cao Minh Lộc, Phú Thứ, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@10.0026007,105.8017355,17z/data=!4m6!3m5!1s0x31a06267ba2a4b9f:0xc8203054001fc80d!8m2!3d10.0026007!4d105.8017355!16s%2Fg%2F1tjgm2kq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",cantho quangda,3.0,2025-04-01,ok
Trung_Nguyên_E-Coffee,"17-18 Cao Minh Lộc, Phú Thứ, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@10.0026007,105.8017355,17z/data=!4m6!3m5!1s0x31a06267ba2a4b9f:0xc8203054001fc80d!8m2!3d10.0026007!4d105.8017355!16s%2Fg%2F1tjgm2kq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Duc Duy Bui,5.0,2025-03-11,The coconut was not chilled but delicious. Spacious and airy.
Trung_Nguyên_E-Coffee,"17-18 Cao Minh Lộc, Phú Thứ, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@10.0026007,105.8017355,17z/data=!4m6!3m5!1s0x31a06267ba2a4b9f:0xc8203054001fc80d!8m2!3d10.0026007!4d105.8017355!16s%2Fg%2F1tjgm2kq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",thanh nguyendac,4.0,2024-04-01,"The shop has a cold room, suitable for resting, office work, working, meetings, and a balcony... The food is quite ok Drinks are also ok The space is airy and clean * Note: This shop will charge a fee (if you intend to visit this shop, please avoid coming in to order water and you will lose the fee)"
Trung_Nguyên_E-Coffee,"17-18 Cao Minh Lộc, Phú Thứ, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@10.0026007,105.8017355,17z/data=!4m6!3m5!1s0x31a06267ba2a4b9f:0xc8203054001fc80d!8m2!3d10.0026007!4d105.8017355!16s%2Fg%2F1tjgm2kq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Olivia Smith (Annie Nguyen),5.0,2024-09-01,"The shop has 2 spaces. Upstairs the air conditioning area can work, downstairs there is a fan for cooling. There is also a meeting room for team building. The view is very beautiful, the design is harmonious and cool, it is a suitable place to check_in. My favorite is the shop's cypress tea and honey. It can be said that it is the most worth sitting coffee shop in Can Tho"
Trung_Nguyên_E-Coffee,"17-18 Cao Minh Lộc, Phú Thứ, Cái Răng, Cần Thơ","https://www.google.com/maps/place/Trung+Nguy%C3%AAn+E-Coffee/@10.0026007,105.8017355,17z/data=!4m6!3m5!1s0x31a06267ba2a4b9f:0xc8203054001fc80d!8m2!3d10.0026007!4d105.8017355!16s%2Fg%2F1tjgm2kq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Pham Quoc Do,4.0,2024-12-01,Delicious standard coffee Beautiful tables and chairs Open space
