places,address,link,user,star,creat_date,comment
Gốm_sứ_Minh_Long_Cần_Thơ_-_Showroom_Ninh_Kiều_Cần_Thơ,,"https://www.google.com/maps/place/G%E1%BB%91m+s%E1%BB%A9+Minh+Long+C%E1%BA%A7n+Th%C6%A1+-+Showroom+Ninh+Ki%E1%BB%81u+C%E1%BA%A7n+Th%C6%A1/@10.0204326,105.7689848,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0881cdcbfffff:0x7ff6845ea5cc82f4!8m2!3d10.0204326!4d105.7689848!16s%2Fg%2F11c532s7kl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",TRUNG HIẾU TRẦN,3.0,2024-04-01,Ok
Gốm_sứ_Minh_Long_Cần_Thơ_-_Showroom_Ninh_Kiều_Cần_Thơ,,"https://www.google.com/maps/place/G%E1%BB%91m+s%E1%BB%A9+Minh+Long+C%E1%BA%A7n+Th%C6%A1+-+Showroom+Ninh+Ki%E1%BB%81u+C%E1%BA%A7n+Th%C6%A1/@10.0204326,105.7689848,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0881cdcbfffff:0x7ff6845ea5cc82f4!8m2!3d10.0204326!4d105.7689848!16s%2Fg%2F11c532s7kl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Khánh Ngân Trần Võ,5.0,2025-02-01,"The store displays many designs, quality ceramics, and enthusiastic and friendly staff."
Gốm_sứ_Minh_Long_Cần_Thơ_-_Showroom_Ninh_Kiều_Cần_Thơ,,"https://www.google.com/maps/place/G%E1%BB%91m+s%E1%BB%A9+Minh+Long+C%E1%BA%A7n+Th%C6%A1+-+Showroom+Ninh+Ki%E1%BB%81u+C%E1%BA%A7n+Th%C6%A1/@10.0204326,105.7689848,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0881cdcbfffff:0x7ff6845ea5cc82f4!8m2!3d10.0204326!4d105.7689848!16s%2Fg%2F11c532s7kl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Bivido Shop,5.0,2024-11-01,"Beautiful products, diverse designs, quality is beyond question. Enthusiastic and cute consultants. Recommended to buy"
Gốm_sứ_Minh_Long_Cần_Thơ_-_Showroom_Ninh_Kiều_Cần_Thơ,,"https://www.google.com/maps/place/G%E1%BB%91m+s%E1%BB%A9+Minh+Long+C%E1%BA%A7n+Th%C6%A1+-+Showroom+Ninh+Ki%E1%BB%81u+C%E1%BA%A7n+Th%C6%A1/@10.0204326,105.7689848,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0881cdcbfffff:0x7ff6845ea5cc82f4!8m2!3d10.0204326!4d105.7689848!16s%2Fg%2F11c532s7kl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Anh Luu Pham Thanh,5.0,2024-08-01,"The showroom is brightly decorated, luxurious and beautiful. Diverse products, many designs. Enthusiastic staff give advice"
Gốm_sứ_Minh_Long_Cần_Thơ_-_Showroom_Ninh_Kiều_Cần_Thơ,,"https://www.google.com/maps/place/G%E1%BB%91m+s%E1%BB%A9+Minh+Long+C%E1%BA%A7n+Th%C6%A1+-+Showroom+Ninh+Ki%E1%BB%81u+C%E1%BA%A7n+Th%C6%A1/@10.0204326,105.7689848,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0881cdcbfffff:0x7ff6845ea5cc82f4!8m2!3d10.0204326!4d105.7689848!16s%2Fg%2F11c532s7kl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Diễm Sương Nguyễn Thị,5.0,2025-01-01,"Beautiful store, enthusiastic staff"
Gốm_sứ_Minh_Long_Cần_Thơ_-_Showroom_Ninh_Kiều_Cần_Thơ,,"https://www.google.com/maps/place/G%E1%BB%91m+s%E1%BB%A9+Minh+Long+C%E1%BA%A7n+Th%C6%A1+-+Showroom+Ninh+Ki%E1%BB%81u+C%E1%BA%A7n+Th%C6%A1/@10.0204326,105.7689848,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0881cdcbfffff:0x7ff6845ea5cc82f4!8m2!3d10.0204326!4d105.7689848!16s%2Fg%2F11c532s7kl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Ngọc Ngọc,5.0,2025-01-01,"Cool, luxurious store, lovely staff"
Gốm_sứ_Minh_Long_Cần_Thơ_-_Showroom_Ninh_Kiều_Cần_Thơ,,"https://www.google.com/maps/place/G%E1%BB%91m+s%E1%BB%A9+Minh+Long+C%E1%BA%A7n+Th%C6%A1+-+Showroom+Ninh+Ki%E1%BB%81u+C%E1%BA%A7n+Th%C6%A1/@10.0204326,105.7689848,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0881cdcbfffff:0x7ff6845ea5cc82f4!8m2!3d10.0204326!4d105.7689848!16s%2Fg%2F11c532s7kl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Thái Huỳnh,5.0,2024-10-01,Extremely high quality product! Enthusiastic staff! My family only uses Minh Long products!
Gốm_sứ_Minh_Long_Cần_Thơ_-_Showroom_Ninh_Kiều_Cần_Thơ,,"https://www.google.com/maps/place/G%E1%BB%91m+s%E1%BB%A9+Minh+Long+C%E1%BA%A7n+Th%C6%A1+-+Showroom+Ninh+Ki%E1%BB%81u+C%E1%BA%A7n+Th%C6%A1/@10.0204326,105.7689848,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0881cdcbfffff:0x7ff6845ea5cc82f4!8m2!3d10.0204326!4d105.7689848!16s%2Fg%2F11c532s7kl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Lê Quân Đặng,5.0,2024-09-01,"Luxurious stores, enthusiastic staff, attractive programs"
Gốm_sứ_Minh_Long_Cần_Thơ_-_Showroom_Ninh_Kiều_Cần_Thơ,,"https://www.google.com/maps/place/G%E1%BB%91m+s%E1%BB%A9+Minh+Long+C%E1%BA%A7n+Th%C6%A1+-+Showroom+Ninh+Ki%E1%BB%81u+C%E1%BA%A7n+Th%C6%A1/@10.0204326,105.7689848,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0881cdcbfffff:0x7ff6845ea5cc82f4!8m2!3d10.0204326!4d105.7689848!16s%2Fg%2F11c532s7kl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Phương Khánh,5.0,2024-07-01,"Bought many times. Good products, good quality, enthusiastic and cute consultants, will introduce acquaintances and visit again next time."
Gốm_sứ_Minh_Long_Cần_Thơ_-_Showroom_Ninh_Kiều_Cần_Thơ,,"https://www.google.com/maps/place/G%E1%BB%91m+s%E1%BB%A9+Minh+Long+C%E1%BA%A7n+Th%C6%A1+-+Showroom+Ninh+Ki%E1%BB%81u+C%E1%BA%A7n+Th%C6%A1/@10.0204326,105.7689848,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0881cdcbfffff:0x7ff6845ea5cc82f4!8m2!3d10.0204326!4d105.7689848!16s%2Fg%2F11c532s7kl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoASAFQAw%3D%3D",Trang Thanh,5.0,2024-11-01,"Luxurious showroom, quality products, cute staff"
