places,address,link,user,star,creat_date,comment,data_llm,scraped_date
NHÀ_PHẠM_TRONG_RỪNG,"40/8 Đ. Nguyễn Văn Cừ, An Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/NH%C3%80+PH%E1%BA%A0M+TRONG+R%E1%BB%AANG/@10.0273152,105.7471086,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0897fc3530207:0xbdc6317173b83336!8m2!3d10.0273152!4d105.7471086!16s%2Fg%2F11wr97mx93?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D",Kim ngann,5.0,2025-03-28,Pi,,2025-04-25
NHÀ_PHẠM_TRONG_RỪNG,"40/8 Đ. Nguyễn Văn Cừ, An Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/NH%C3%80+PH%E1%BA%A0M+TRONG+R%E1%BB%AANG/@10.0273152,105.7471086,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0897fc3530207:0xbdc6317173b83336!8m2!3d10.0273152!4d105.7471086!16s%2Fg%2F11wr97mx93?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D",DiễmMyy,5.0,2025-03-28,Pi,,2025-04-25
NHÀ_PHẠM_TRONG_RỪNG,"40/8 Đ. Nguyễn Văn Cừ, An Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/NH%C3%80+PH%E1%BA%A0M+TRONG+R%E1%BB%AANG/@10.0273152,105.7471086,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0897fc3530207:0xbdc6317173b83336!8m2!3d10.0273152!4d105.7471086!16s%2Fg%2F11wr97mx93?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D",Duy Nguyễn,4.0,2025-01-25,"The restaurant's decor is quite nice, with many shooting angles, suitable for a few photo shoots. The shop is located in front of the coffee roasting factory, so sometimes the smell of coffee from the factory is very unpleasant, and the shop plays music quite loudly",,2025-04-25
NHÀ_PHẠM_TRONG_RỪNG,"40/8 Đ. Nguyễn Văn Cừ, An Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/NH%C3%80+PH%E1%BA%A0M+TRONG+R%E1%BB%AANG/@10.0273152,105.7471086,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0897fc3530207:0xbdc6317173b83336!8m2!3d10.0273152!4d105.7471086!16s%2Fg%2F11wr97mx93?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D",Hoang Loi,5.0,2025-01-25,"- Beautiful restaurant, many views, close, comfortable and reasonably arranged space - The only thing is that next to the coffee mill, there's so much smoke, it's so stuffy!",,2025-04-25
NHÀ_PHẠM_TRONG_RỪNG,"40/8 Đ. Nguyễn Văn Cừ, An Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/NH%C3%80+PH%E1%BA%A0M+TRONG+R%E1%BB%AANG/@10.0273152,105.7471086,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0897fc3530207:0xbdc6317173b83336!8m2!3d10.0273152!4d105.7471086!16s%2Fg%2F11wr97mx93?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D",Thiên Huy,5.0,2025-03-25,1. Advantages a) The restaurant space is large and airy. b) There are many beautiful angles to take pictures. 2. Limitations There are a lot of mosquitoes so apply Soffell before going.,,2025-04-25
NHÀ_PHẠM_TRONG_RỪNG,"40/8 Đ. Nguyễn Văn Cừ, An Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/NH%C3%80+PH%E1%BA%A0M+TRONG+R%E1%BB%AANG/@10.0273152,105.7471086,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0897fc3530207:0xbdc6317173b83336!8m2!3d10.0273152!4d105.7471086!16s%2Fg%2F11wr97mx93?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D",Ngọc Đỗ,5.0,2025-01-25,"Spacious restaurant, cool view. Decor ok. There are also mirrors and multiple shooting angles. Quiet space. I went in the evening to sit outside and there were a bit of mosquitoes during this season, but the shop had mosquito coils so that helped.  As for the menu, I think the price is okay, not expensive or cheap. The drink is not very sharp, the peach tea is a bit sweet. The shop should check the more trendy way of mixing water. Water is also very important, not just having a beautiful view is ok.  Spacious parking lot. I think the staff is also ok.  Overall quite good. Everyone should go try it.",,2025-04-25
NHÀ_PHẠM_TRONG_RỪNG,"40/8 Đ. Nguyễn Văn Cừ, An Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/NH%C3%80+PH%E1%BA%A0M+TRONG+R%E1%BB%AANG/@10.0273152,105.7471086,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0897fc3530207:0xbdc6317173b83336!8m2!3d10.0273152!4d105.7471086!16s%2Fg%2F11wr97mx93?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D",Honi Decal Dán Tường Cho Bé,5.0,2024-12-25,"The restaurant costs 10 VND, the atmosphere is so close to Christmas that the restaurant is reasonable. Entering the shop, there is a delicious aroma of coffee. The space is large, airy, the staff is cute with cheese sticks, I asked my 6 year old son to ask for filtered water, asked him to bring the water himself and the cute staff brought it to him. 5 stars",,2025-04-25
NHÀ_PHẠM_TRONG_RỪNG,"40/8 Đ. Nguyễn Văn Cừ, An Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/NH%C3%80+PH%E1%BA%A0M+TRONG+R%E1%BB%AANG/@10.0273152,105.7471086,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0897fc3530207:0xbdc6317173b83336!8m2!3d10.0273152!4d105.7471086!16s%2Fg%2F11wr97mx93?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D",Poly Khô Gà (Càng Ăn Càng Mê Ly),5.0,2025-03-25,"Cool, comfortable space, good service. The scenery is beautiful and very chill",,2025-04-25
NHÀ_PHẠM_TRONG_RỪNG,"40/8 Đ. Nguyễn Văn Cừ, An Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/NH%C3%80+PH%E1%BA%A0M+TRONG+R%E1%BB%AANG/@10.0273152,105.7471086,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0897fc3530207:0xbdc6317173b83336!8m2!3d10.0273152!4d105.7471086!16s%2Fg%2F11wr97mx93?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D",HỒ THANH NGUYÊN,5.0,2025-01-25,"The restaurant and staff get 1000 points, the restaurant is beautiful, with many shooting angles, the staff is enthusiastic and cheerful, the drinks are fast and delicious.",,2025-04-25
NHÀ_PHẠM_TRONG_RỪNG,"40/8 Đ. Nguyễn Văn Cừ, An Bình, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/NH%C3%80+PH%E1%BA%A0M+TRONG+R%E1%BB%AANG/@10.0273152,105.7471086,17z/data=!3m1!4b1!4m6!3m5!1s0x31a0897fc3530207:0xbdc6317173b83336!8m2!3d10.0273152!4d105.7471086!16s%2Fg%2F11wr97mx93?entry=ttu&g_ep=EgoyMDI1MDQyMy4wIKXMDSoASAFQAw%3D%3D",Thơ Annh,5.0,2024-12-25,Follow the shop to 3 branches Which branch is ok hett Worth the 10 VND hg yes butg😍,,2025-04-25
