places,address,link,user,star,creat_date,comment
E-Coffee_Trung_Nguyên_Phan_Đình_Phùng,"12 Phan Đình Phùng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/E-Coffee+Trung+Nguy%C3%AAn+Phan+%C4%90%C3%ACnh+Ph%C3%B9ng/@10.0336847,105.7868233,17z/data=!4m6!3m5!1s0x31a063033bfbf2fb:0x6721357c7888591e!8m2!3d10.0336847!4d105.7868233!16s%2Fg%2F11vj54_mnv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",R P,5.0,2024-12-01,"Decent coffee and a decent price. Most coffee shops in Phu Quoc are opportunistic offering overpriced coffee that isn’t very good. Being a previous coffee shop owner and spending 3 months in sunset town - Although the coffee is still expensive for Vietnam, at least it’s a good cup of coffee. They have a decent menu with a variety of tea and coffee beverages."
E-Coffee_Trung_Nguyên_Phan_Đình_Phùng,"12 Phan Đình Phùng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/E-Coffee+Trung+Nguy%C3%AAn+Phan+%C4%90%C3%ACnh+Ph%C3%B9ng/@10.0336847,105.7868233,17z/data=!4m6!3m5!1s0x31a063033bfbf2fb:0x6721357c7888591e!8m2!3d10.0336847!4d105.7868233!16s%2Fg%2F11vj54_mnv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Sam Sinclair,5.0,2024-12-01,"Great coffee and lovely helpful staff, so good we went a couple of times! Definitely recommend for good coffee and people watching at night time ☕️"
E-Coffee_Trung_Nguyên_Phan_Đình_Phùng,"12 Phan Đình Phùng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/E-Coffee+Trung+Nguy%C3%AAn+Phan+%C4%90%C3%ACnh+Ph%C3%B9ng/@10.0336847,105.7868233,17z/data=!4m6!3m5!1s0x31a063033bfbf2fb:0x6721357c7888591e!8m2!3d10.0336847!4d105.7868233!16s%2Fg%2F11vj54_mnv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Dom Nelson,5.0,2024-05-01,"Tasty coffee and drinks at pretty reasonable prices given the comfort and standard of the surroundings. Attentive and friendly staff. Air conditioning worked well and the WiFi was fast and reliable, will be back here for sure."
E-Coffee_Trung_Nguyên_Phan_Đình_Phùng,"12 Phan Đình Phùng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/E-Coffee+Trung+Nguy%C3%AAn+Phan+%C4%90%C3%ACnh+Ph%C3%B9ng/@10.0336847,105.7868233,17z/data=!4m6!3m5!1s0x31a063033bfbf2fb:0x6721357c7888591e!8m2!3d10.0336847!4d105.7868233!16s%2Fg%2F11vj54_mnv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Harriet Boeker,2.0,2025-02-01,Very slow service in the afternoon. Iced coffee had way too much ice and just a little coffee.
E-Coffee_Trung_Nguyên_Phan_Đình_Phùng,"12 Phan Đình Phùng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/E-Coffee+Trung+Nguy%C3%AAn+Phan+%C4%90%C3%ACnh+Ph%C3%B9ng/@10.0336847,105.7868233,17z/data=!4m6!3m5!1s0x31a063033bfbf2fb:0x6721357c7888591e!8m2!3d10.0336847!4d105.7868233!16s%2Fg%2F11vj54_mnv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Tuệ Tuệ Tuệ,5.0,2025-04-01,I love it
E-Coffee_Trung_Nguyên_Phan_Đình_Phùng,"12 Phan Đình Phùng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/E-Coffee+Trung+Nguy%C3%AAn+Phan+%C4%90%C3%ACnh+Ph%C3%B9ng/@10.0336847,105.7868233,17z/data=!4m6!3m5!1s0x31a063033bfbf2fb:0x6721357c7888591e!8m2!3d10.0336847!4d105.7868233!16s%2Fg%2F11vj54_mnv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Pierre Yves,5.0,2024-04-01,Nice cool environment with friendly service. Thanks for the extra free rambutans. 😋
E-Coffee_Trung_Nguyên_Phan_Đình_Phùng,"12 Phan Đình Phùng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/E-Coffee+Trung+Nguy%C3%AAn+Phan+%C4%90%C3%ACnh+Ph%C3%B9ng/@10.0336847,105.7868233,17z/data=!4m6!3m5!1s0x31a063033bfbf2fb:0x6721357c7888591e!8m2!3d10.0336847!4d105.7868233!16s%2Fg%2F11vj54_mnv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Maps SDA,4.0,2025-03-11,"Coffee corner along the cool, airy sidewalk near Ninh Kieu pedestrian street. The 24/7 restaurant is very crowded in the evening During the day, there is a clean, cold roof inside The drink menu is diverse and reasonably priced."
E-Coffee_Trung_Nguyên_Phan_Đình_Phùng,"12 Phan Đình Phùng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/E-Coffee+Trung+Nguy%C3%AAn+Phan+%C4%90%C3%ACnh+Ph%C3%B9ng/@10.0336847,105.7868233,17z/data=!4m6!3m5!1s0x31a063033bfbf2fb:0x6721357c7888591e!8m2!3d10.0336847!4d105.7868233!16s%2Fg%2F11vj54_mnv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Sơn Trang Trần,3.0,2025-03-11,"Drinking water is out of the question because it's each person's personal taste whether they like this brand or not. But in terms of service, the staff should be retrained: if they do something wrong and say that the customer doesn't speak, if they ask for tea or boiling water, they have to repeat it over and over again until they are almost leaving. It's a crime because they're all young students working part-time jobs. They deserve to be properly trained so they can progress and take solid steps in life. Another minus point of the restaurant is that the air conditioner is not cold enough, so you have to sit and drink water but also have to watch and fight mosquitoes! Advise everyone to sit outside as it will be cooler. Parking in the building is free when you present the ticket to the security guard or the ticket left on the counter."
E-Coffee_Trung_Nguyên_Phan_Đình_Phùng,"12 Phan Đình Phùng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/E-Coffee+Trung+Nguy%C3%AAn+Phan+%C4%90%C3%ACnh+Ph%C3%B9ng/@10.0336847,105.7868233,17z/data=!4m6!3m5!1s0x31a063033bfbf2fb:0x6721357c7888591e!8m2!3d10.0336847!4d105.7868233!16s%2Fg%2F11vj54_mnv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Quốc Vinh Nguyễn,5.0,2024-11-01,"The Trung Nguyen branch here has quite a comfortable space, cool air conditioning, and the service staff is quite good and pleasant. The shop's design is very luxurious and bright, the staff is constantly sweeping and mopping the floor so it's always shiny. The experience of my drink is also quite good, mainly characterized by pure Trung Nguyen coffee. This is the most beautiful Trung Nguyen branch I have currently experienced. The parking lot is quite airy and clean near Sense City and restaurants. 9.5/10.  (*) The shop has quite a few electrical outlets so it's not for office workers or group workers!"
E-Coffee_Trung_Nguyên_Phan_Đình_Phùng,"12 Phan Đình Phùng, Tân An, Ninh Kiều, Cần Thơ","https://www.google.com/maps/place/E-Coffee+Trung+Nguy%C3%AAn+Phan+%C4%90%C3%ACnh+Ph%C3%B9ng/@10.0336847,105.7868233,17z/data=!4m6!3m5!1s0x31a063033bfbf2fb:0x6721357c7888591e!8m2!3d10.0336847!4d105.7868233!16s%2Fg%2F11vj54_mnv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMyNS4xIKXMDSoJLDEwMjExNDUzSAFQAw%3D%3D",Nguyen Duc Lap,5.0,2024-11-01,"Clean restaurant, cool air conditioning, delicious drinks, diverse menu! Cold brew coffee is quite delicious! The atmosphere is great, the restaurant style is very good! In the evening, there are outdoor tables and chairs that are very cool. Will visit many more times!"
