Location ID: 44
Location Name: TRUNG_NGUYÊN_E-COFFEE_24_VÕ_VĂN_KIỆT
Data LLM:
{
    "danh_sach_tu_tot": "spacious, cool, easy to find, convenient",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "spacious, cool, easy to find, convenient",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "spacious, cool, easy to find, convenient",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "spacious, cool, easy to find, convenient",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "spacious, cool, easy to find, convenient",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "spacious, cool, easy to find, convenient",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "spacious, cool, easy to find, convenient",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "suitable, beautiful, good, diverse, delicious, to my liking",
    "danh_sach_tu_xau": "not too noisy, a bit better",
    "percentage_tot": 75.0,
    "percentage_xau": 25.0
} {
    "danh_sach_tu_tot": "suitable, beautiful, good, good, diverse, delicious, to my liking",
    "danh_sach_tu_xau": "not too noisy, a bit better",
    "percentage_tot": 77.78,
    "percentage_xau": 22.22
} {
    "danh_sach_tu_tot": "suitable, beautiful, good, diverse, delicious, to my liking",
    "danh_sach_tu_xau": "not too noisy, a bit better",
    "percentage_tot": 75.0,
    "percentage_xau": 25.0
} {
    "danh_sach_tu_tot": "suitable, beautiful, good, diverse, delicious, to my liking",
    "danh_sach_tu_xau": "not too noisy, a bit better",
    "percentage_tot": 75.0,
    "percentage_xau": 25.0
} {
    "danh_sach_tu_tot": "suitable, beautiful, good, good, diverse, delicious, to my liking",
    "danh_sach_tu_xau": "not too noisy, a bit better",
    "percentage_tot": 77.78,
    "percentage_xau": 22.22
} {
    "danh_sach_tu_tot": "suitable, beautiful, good, good, diverse, delicious, to my liking",
    "danh_sach_tu_xau": "not too noisy, a bit better",
    "percentage_tot": 77.78,
    "percentage_xau": 22.22
} {
    "danh_sach_tu_tot": "suitable, beautiful, good, diverse, delicious, to my liking",
    "danh_sach_tu_xau": "not too noisy, a bit better",
    "percentage_tot": 75.0,
    "percentage_xau": 25.0
} {
    "danh_sach_tu_tot": "love, delicious",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "love, delicious",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "love, delicious",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "love, delicious",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "love, delicious",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "love, delicious",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "love, delicious",
    "danh_sach_tu_xau": null,
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "large",
    "danh_sach_tu_xau": "cold",
    "percentage_tot": 50.0,
    "percentage_xau": 50.0
} {
    "danh_sach_tu_tot": "large",
    "danh_sach_tu_xau": "cold",
    "percentage_tot": 50.0,
    "percentage_xau": 50.0
} {
    "danh_sach_tu_tot": "large",
    "danh_sach_tu_xau": "cold",
    "percentage_tot": 50.0,
    "percentage_xau": 50.0
} {
    "danh_sach_tu_tot": "large",
    "danh_sach_tu_xau": "cold",
    "percentage_tot": 50.0,
    "percentage_xau": 50.0
} {
    "danh_sach_tu_tot": "large",
    "danh_sach_tu_xau": "cold",
    "percentage_tot": 50.0,
    "percentage_xau": 50.0
} {
    "danh_sach_tu_tot": "large",
    "danh_sach_tu_xau": "cold",
    "percentage_tot": 50.0,
    "percentage_xau": 50.0
} {
    "danh_sach_tu_tot": "large",
    "danh_sach_tu_xau": "cold",
    "percentage_tot": 50.0,
    "percentage_xau": 50.0
} {
    "danh_sach_tu_tot": "airy, cool, chill chill",
    "danh_sach_tu_xau": "cold",
    "percentage_tot": 75.0,
    "percentage_xau": 25.0
} {
    "danh_sach_tu_tot": "airy, cool, chill chill",
    "danh_sach_tu_xau": "cold",
    "percentage_tot": 75.0,
    "percentage_xau": 25.0
} {
    "danh_sach_tu_tot": "airy, cool, chill chill",
    "danh_sach_tu_xau": "cold",
    "percentage_tot": 75.0,
    "percentage_xau": 25.0
} {
    "danh_sach_tu_tot": "airy, cool, chill chill",
    "danh_sach_tu_xau": "cold",
    "percentage_tot": 75.0,
    "percentage_xau": 25.0
} {
    "danh_sach_tu_tot": "airy, cool, chill chill",
    "danh_sach_tu_xau": "cold",
    "percentage_tot": 75.0,
    "percentage_xau": 25.0
} {
    "danh_sach_tu_tot": "airy, cool, chill chill",
    "danh_sach_tu_xau": "cold",
    "percentage_tot": 75.0,
    "percentage_xau": 25.0
} {
    "danh_sach_tu_tot": "airy, cool, chill chill",
    "danh_sach_tu_xau": "cold",
    "percentage_tot": 75.0,
    "percentage_xau": 25.0
} {
    "danh_sach_tu_tot": "spacious, airy, delicious",
    "danh_sach_tu_xau": "",
    "percentage_tot": 100.0,
    "percentage_xau": 0.0
} {
    "danh_sach_tu_tot": "spacious, airy, delicious",
